cluster_a	cluster_b	name_a	name_b	type_a	type_b	settlements_a	settlements_b	db_a	db_b	db_name_a	db_name_b	decision_a	decision_b	shared_hosts	jaccard	idf_score	shared_host_headings	pair_review_decision	flag
ORG-C00108	ORG-C00702	יידישן אַרטיסטן-פֿאַריין אין פּוילן	לעקסיקאָן פון יידישן טעאַטער	Theatre-related Society/ Union	Publisher	וואַרשע | ווילנע | כאָרקאָוו | לאָדזש | לעמבערג | פּאַריז | קיעוו		442	310	Yiddish artists union	לעקסיקאָן פון יידישן טעאַטער	ALIGN	ALIGN	2	0.022	0.533	באָזשיק, מאַקס [באָזשיקאָווסקי] | גוסקין, ראובן		
ORG-C00108	ORG-C00109	יידישן אַרטיסטן-פֿאַריין אין פּוילן	נידערשלעזישן יידישן טעאַטער	Theatre-related Society/ Union	Theatre	וואַרשע | ווילנע | כאָרקאָוו | לאָדזש | לעמבערג | פּאַריז | קיעוו		442		Yiddish artists union		ALIGN		2	0.034	0.529	גליקמאַן, רעניאַ (רבקה) | לעווענשטיין, חנן		
ORG-C00633_Q01	ORG-C01165_Q01	פּיפּלס-טעאַטער	פּיפּלס מיוזיק האָל	Theatre	Theatre	ניו יאָרק | ניו יארק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער | ניוּ-יאָרק	ניו יאָרק | ניו-יאָרק	120		People's Theatre NY		ALIGN		2	0.025	0.515	בירנבוים, לואיס [יעקב לייב] | קעסטין, סעם		
ORG-C00633_Q01	ORG-C03840	פּיפּלס-טעאַטער	בעסי טאָמאַשעווסקיס פּיפּלס-טעאטער	Theatre	Theatre	ניו יאָרק | ניו יארק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער | ניוּ-יאָרק	ניו-יאָרק	120		People's Theatre NY		ALIGN		2	0.025	0.507	טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן] | מאָריסאָן, מאָריטץ [משה קאָהן]		
ORG-C00179	ORG-C00812_Q01	קונסט-רינג	קונסט-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו-יאָרק	ניו יאָרק	306	443	קונסט-רינג	Yiddish Art Theatre	ALIGN	ALIGN	2	0.077	0.502	בלייך, יהודה | ניומאַן (ניימאַן], יעקב		
ORG-C01305	ORG-C01306	לאָדזער טאַגעבלאַט	לאָדזער פֿאָלקסבלאַט	Journals/ Newspapers	Journals/ Newspapers	לאָדז | לאָדזער | לאָדזש	לאָדז | לאָדזש | לאָדזש	1523		לאָדזער טאַגעבלאַט		NEW		2	0.118	0.501	קאַהאַן ישראל [אַברהם] | קאַהאַן, לאַזאַר		
ORG-C00496	ORG-C02933	טרופּע פון שאַראַוונער	טרופּע פון לערמאַנקע	Traveling Company	Traveling Company	ווילנע		629	641	שאַראָוונער'ס טרופּעס	לערמאַןס טרופּע	ALIGN	ALIGN	2	0.25	0.495	לאַמפּע, מאָריס | לאַמפּע, מאָריס		
ORG-C00496	ORG-C03392	טרופּע פון שאַראַוונער	טרופּע פון קאַניעווסקאַ-כאַרלאַמפּ	Traveling Company	Traveling Company	ווילנע		629	851	שאַראָוונער'ס טרופּעס	טרופּע פון קאַניעווסקאַ-כאַרלאַמפּ	ALIGN	NEW	2	0.286	0.495	לאַמפּע, מאָריס | לאַמפּע, מאָריס		
ORG-C02933	ORG-C03392	טרופּע פון לערמאַנקע	טרופּע פון קאַניעווסקאַ-כאַרלאַמפּ	Traveling Company	Traveling Company			641	851	לערמאַןס טרופּע	טרופּע פון קאַניעווסקאַ-כאַרלאַמפּ	ALIGN	NEW	2	0.4	0.495	לאַמפּע, מאָריס | לאַמפּע, מאָריס		
ORG-C00633_Q01	ORG-C01692_Q01	פּיפּלס-טעאַטער	פּיפּלס מוזיק-האָל	Theatre	Theatre	ניו יאָרק | ניו יארק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער | ניוּ-יאָרק	ניו יאָרק	120		People's Theatre NY		ALIGN		2	0.023	0.484	יאָנג, קלאַראַ [חיה-ריסיע שפּיקאָליצער] | לעש, יצחק [איזידאָר לעשטשינסקי]		
