cluster_id	canonical_yiddish	org_type	extracted_settlements	candidate_db_id	candidate_db_name	shared_hosts	idf_score	shared_host_headings
ORG-C03950	בראַנסקער פּראָספּעקט-טעאַטער	Theatre	בראַנסקער | בראנסק	116	Irwing Place (Deutsches) Theatre	1	0.27	מלאך, ל. [לייבל זאַלצמאַן]
ORG-C05392	לאָבעלס ראָיאַל-טעאַטער	Theatre	ניו יאָרק	118	National Theatre	1	0.27	אויערבאַך, בּאָריס [בן-ציון]
ORG-C06003	וואַרשעווער פּראָגרעסיוו-דראַמאַטיק-קלאָב	Theatre		363	Progresiv dramatik klub (Progressive Drama Club)	1	0.27	גאָלד, סטעלאַ [טאָלצע שטאָלצענגאָלד]
ORG-C06007	לייסעוםטעאַטער	Theatre		176	ליריק-טעאַטער	1	0.27	גאָלד, סטעלאַ [טאָלצע שטאָלצענגאָלד]
ORG-C06042	האָטעל ווייבעל	Theatre	בראַאילא	137	פּאָמול ווערדע	1	0.27	„די אינטריגע אָדער דוואָסי די פּליאָטקע-מאַכערין
ORG-C06829	לאָדזער צירק-טעאַטער	Theatre	לאָדזשער | לאדזש	604	לאָדזשער סקאַלאַ-טעאַטער	1	0.27	זילבּערצווייג, זלמן
ORG-C00036_Q04	רוסישן טעאַטער	Theatre	באָברויסק	118	National Theatre	1	0.263	לעבעדיעוו, אהרן
ORG-C00065_Q03	די אידישע צייטונג	Journals/ Newspapers	אַנטווערפּען	442	Yiddish artists union	1	0.263	וואַגנער בן-ציון
ORG-C01104	לאָדזשער גרויסעס טעאַטער	Theatre	לאָדזש | לאָדזש | לאָדזשער	604	לאָדזשער סקאַלאַ-טעאַטער	1	0.263	סיעראָצקי, הערמאַן
ORG-C01387_Q06	יידישע טעאַטערס	Theatre	שיקאַגאָ | שיקאָגאָ | שיקאגאָ	263	גרויסע טעאַטער	1	0.263	מיכאַלעסקאָ, מיכאל [ווייסבּלאַט]
ORG-C01741	דער האַמער	Journals/ Newspapers	נ. י. | ניו יאָרק | ניו-יאָרק	217	דער וועג	1	0.263	מנחם (מנחם גאָלדבערג]
ORG-C01842	יידישן לעגיאָן	Military	לוד	442	Yiddish artists union	1	0.263	סאַנטאָפּ, שלום
ORG-C01955_Q01	טאָמאַשעווסקיס נעשאַנאַל-טעאַטער	Theatre		604	לאָדזשער סקאַלאַ-טעאַטער	1	0.263	סיעראָצקי, הערמאַן
ORG-C02476	סינעמאַ-טעאַטער	Theatre	מיאמי ביטש	555	קעמי-טעאַטער	1	0.263	שעכטער לעאָן
ORG-C03912	דער גרויסער קונדס	Journals/ Newspapers	ניו יאָרק	614	דער אידישער זשורנאַל	1	0.263	ראָזאַנקאַ, וויעראַ [שרה ווינער]
ORG-C05395	פּיפּעלס טעאַטער	Theatre	ניו-יאָרק	364	Prospect Theatre	1	0.263	וואולף, סיימאַן [שמחה]
ORG-C05596	עסעקס-טעאַטער	Theatre		140	Lenox Theater	1	0.263	באַדין, מאַקס [מוני באַדיאַן]
ORG-C06344	די יודישע מאָרגענפּאָסט	Journals/ Newspapers	ווין	215	Der Moment⁩ - ⁨דער מאמענט⁩⁩	1	0.263	דאָרף, מאָריס
ORG-C06354	קעמברידזשער טעאַטער	Theatre	לאָנדאָן	622	פּעריגען-טעאַטער	1	0.263	דושמאַן, לעאָן
ORG-C06357	פֿאַראייניקטער יידישער פֿאָלקס-טעאַטער	Theatre		501	מינסקער יידישן מלוכה-טעאַטער	1	0.263	דושמאַן, לעאָן
ORG-C00435	"אוקראינישן באַוועגלעכן מלוכה-טעאַטער „רויטער האָמער"""	Non-Yiddish Theatre		540	אוקראַאינישער יידישער מלוכה-טעאַטער	1	0.256	פֿישער, אַברהם-אַליעזר
ORG-C00596_Q01	יידיש דראַמאַטישן טעאַטער	Theatre	קאָוונע	443	Yiddish Art Theatre	1	0.256	פעקער וויקטאָר (אביגדור)
ORG-C00675	"באַלטימאָרער „פאָלי טעאַטער"""	Theatre	באַלטימאָר	118	National Theatre	1	0.256	פֿאָפּער, דוד
ORG-C00783_Q01	יידישן אַנסאַמבל קונסט-טעאַטער	Theatre	אַמעריקע	443	Yiddish Art Theatre	1	0.256	פעקער וויקטאָר (אביגדור)
ORG-C00833	"דראַמסעקציע ביי ""צוקונפט"""	Amateur		225	Di tsukunft- די צוקונפט	1	0.256	פּערענסאָן, משה
ORG-C01458	דילענסי סטריט דראַמאַטיק קלאָב	Theatre		363	Progresiv dramatik klub (Progressive Drama Club)	1	0.256	שוואַרץ, מאָריס [אַברהם משה]
ORG-C01888	השחר	Journals/ Newspapers	ווין	267	הדור	1	0.256	פרישמאַן, דוד
ORG-C03417	אונזער עקספרעס	Journals/ Newspapers	וואַרשע	425	אונדער לעבען	1	0.256	קאַהאַן ישראל [אַברהם]
ORG-C00380_Q01	אַרבייטער רינג	Jewish political bodies	ניו יאָרק | ניו-יאָרק	81	אַרבייטער צייטונג	1	0.25	קראַנץ פֿיליפּ [יעקב ראָמבראָ]
ORG-C00544_Q01	פאָלקסצייטונג	Journals/ Newspapers	וואַרשע	81	אַרבייטער צייטונג	1	0.25	קראַנץ פֿיליפּ [יעקב ראָמבראָ]
ORG-C00565	כאַליאַסטרע	Theatre	וואַרשע	486	גוזיק	1	0.25	סטרוגאַטש, יוסף
ORG-C00904	וואַרשעווער גימנאַזיע	Education	וואַרשע	585	וואַרשעווער אוניווערזיטעט	1	0.25	פרילוצקי, נח
ORG-C01217	דער אידישער גזלן	Journals/ Newspapers		461	יידישער העראָלד	1	0.25	נאַדיר, משה [יצחק רייז]
ORG-C01499	אַמבאַ-טעאַטער	Theatre	בוענאָס איירעס	186	Amphion Theatre	1	0.25	אוישער משה
ORG-C02182	קינדער לאַנד	Journals/ Newspapers	ניו יאָרק	301	Kinder Zhurnal (Children's Journal)	1	0.25	כאָווער-פּאָווער [גרשון איינבינדער]
ORG-C02182	קינדער לאַנד	Journals/ Newspapers	ניו יאָרק	206	קעמפּ קינדערלאַנד	1	0.25	כאָווער-פּאָווער [גרשון איינבינדער]
ORG-C02343	מאָסקווער צענטראָלן קינדער-טעאַטער	Theatre	מאָסקווע	472	אָדעסער יידישן טעאַטער	1	0.25	שוואַרצער בנימין
ORG-C02493_Q01	יידישן נאַציאָנאלפֿאַנד	Jewish political bodies		442	Yiddish artists union	1	0.25	וועליטשאַנסקי, ישראל
ORG-C02895	פּוילישער אָפּערע	Theatre	וואַרשע	608	פּוילישן פאָלקס-טעאַטער	1	0.25	לאַנדוי- [לאַנדאָ] קלעקוי שמואל
ORG-C03912	דער גרויסער קונדס	Journals/ Newspapers	ניו יאָרק	461	יידישער העראָלד	1	0.25	נאַדיר, משה [יצחק רייז]
ORG-C04156	געבילס קאָמעדיע טעאַטער	Theatre	ניו יאָרק | ניו-יאָרק	116	Irwing Place (Deutsches) Theatre	1	0.25	יושקעוויטש, סעמיאָן
ORG-C06085_Q01	שטאָטישן טעאַטער	Theatre	קאָוונע	118	National Theatre	1	0.25	גאָלדשטיין, יעקב
ORG-C00726	דראַמאַטישע קונסט	Theatre-related Society/ Union	לאָדזש | לאָנדאָן | לאָדזש | פּאַביאַניץ	398	טעאַטער און קונסט	1	0.245	קאַהאַן, לאַזאַר
ORG-C00755	וואַרשעווער קאָנסערוואַטאָריע	Education	וואַרשע	709	כאָרשול אין זשיטאָמיר	1	0.245	קיפּניס, מנחם
ORG-C00829_Q04	די אידישע וועלט (קליוולאַנד)	Journals/ Newspapers	קליוולאַנד	614	דער אידישער זשורנאַל	1	0.245	קירשענבוים, יעקב
ORG-C00910	טעאַטער-וועלט	Journals/ Newspapers	וואַרשע	151	צענטראַל-טעאַטער	1	0.245	קיפּניס, מנחם
ORG-C01217	דער אידישער גזלן	Journals/ Newspapers		614	דער אידישער זשורנאַל	1	0.245	קירשענבוים, יעקב
ORG-C01311	אונדזער וועלט	Journals/ Newspapers	שאַנכיי	425	אונדער לעבען	1	0.245	קאַהאַן, לאַזאַר
ORG-C01311	אונדזער וועלט	Journals/ Newspapers	שאַנכיי	217	דער וועג	1	0.245	קאַהאַן, לאַזאַר
ORG-C01410	יידישע אַרבעטער בינע יעקב גאָרדין	Theatre	לעמבערג	442	Yiddish artists union	1	0.245	טראָסבערג, משה
ORG-C04772	דער פֿירער	Journals/ Newspapers		692	פֿאַרווערטס	1	0.245	מיללער לואיס ע [ל. באַנדעס]
ORG-C05170	קלאראַ יאָנגס ליבערטי-טעאַטער	Theatre		176	ליריק-טעאַטער	1	0.245	סעקונדאַ, שלום
ORG-C06707	פאַרווערטס-פערלאַג	Publisher	ניו יאָרק	692	פֿאַרווערטס	1	0.245	ווינטשעווסקי, מאָריס [בנציון נאָוואָכאָוויטש]
ORG-C01387_Q16	יידישן טעאַטער	Theatre	יאַסי | יאָס | יאָסי | יאס	443	Yiddish Art Theatre	1	0.24	פרענקעל, יצחק
ORG-C02046	דזשעני גאָלדשטיינס טעאַטערס	Theatre		464	Judisches Theater	1	0.24	טשערטאָוו, אַלעקס
ORG-C02047	מיכאלעסקאָס טעאַטער	Theatre		156	Thomashefsky Theatre	1	0.24	טשערטאָוו, אַלעקס
ORG-C02421	ראַדיקאַלן אַרבעטער-סענטער	Theatre		735	קולטור-סענטער	1	0.24	גלאַנץ, יעקב
ORG-C02426	יידישער מוזיי אין ניו-יאָרק	Theatre	ניו-יאָרק	742	נאַציאָנאַלן מוזיי	1	0.24	גלאַנץ, יעקב
ORG-C02449	פּראָקטאַר און געמבלס פֿייערסייד טעאַטער	Theatre		128	סעקאָנד עוועניו טעאַטער	1	0.24	"בראַנדט, לואי [„מאָטעלע""]"
ORG-C02449	פּראָקטאַר און געמבלס פֿייערסייד טעאַטער	Theatre		176	ליריק-טעאַטער	1	0.24	"בראַנדט, לואי [„מאָטעלע""]"
ORG-C03895	ניו-יאָרקער נעשאַנאַל-טעאַטער	Theatre	ניו יאָרק | ניו-יאָרק | ניו-יאָרקער	118	National Theatre	1	0.24	סאַנדלער פּרץ
ORG-C04101	קעסלערס רוף-גאַרדן	Theatre	ניו יאָרק | ניו-יאָרק	254	גענפערס טרופּע	1	0.24	יאָנגעלסאָן, נייט. {נתן)
ORG-C04553	געבילס 116 סטריט-טעאַטער	Theatre		190	Arch Street Theatre	1	0.24	לעש, יצחק [איזידאָר לעשטשינסקי]
ORG-C04553	געבילס 116 סטריט-טעאַטער	Theatre		176	ליריק-טעאַטער	1	0.24	לעש, יצחק [איזידאָר לעשטשינסקי]
ORG-C06302	דאָס אידישע פֿאָלק	Journals/ Newspapers		614	דער אידישער זשורנאַל	1	0.24	קוסמאַן, לעאָן
ORG-C06302	דאָס אידישע פֿאָלק	Journals/ Newspapers		449	יידישעס טאָגעבלאַט	1	0.24	קוסמאַן, לעאָן
ORG-C07164	די אידישע צוקונפט	Journals/ Newspapers		449	יידישעס טאָגעבלאַט	1	0.24	קוסמאַן, לעאָן
ORG-C07164	די אידישע צוקונפט	Journals/ Newspapers		614	דער אידישער זשורנאַל	1	0.24	קוסמאַן, לעאָן
ORG-C00385	יידישן מוזיק-פאַראיין	Musical organization	ניו-יאָרק	442	Yiddish artists union	1	0.231	בראָדין, מאַקסיס [מאָקס בראָדסקי]
ORG-C00448_Q01	יידישער אַרטיסטן-פֿאַריין אין פּוילן	Theatre-related Society/ Union		442	Yiddish artists union	1	0.231	טייטעלבוים, אַברהם (=שלום, סעם)
ORG-C00892	מאַרהאַלם-טרופּע	Non-Yiddish Theatre	ווין	395	שטראַמער-טרופּע	1	0.231	פּרייס, מיכאל
ORG-C03945	פּרץ-געזעלשאַפט	Education	מאָסקווע	446	יידיש. דראַמגעזעלשאַפֿט	1	0.231	טייטעלבוים, אַברהם (=שלום, סעם)
ORG-C03947	ליט. דראמ. געזעלשאַפט	Theatre	שיקאַגאָ	446	יידיש. דראַמגעזעלשאַפֿט	1	0.231	טייטעלבוים, אַברהם (=שלום, סעם)
ORG-C00515_Q02	טאַליאַ-טעאַטער (פֿילאָדעלפיע)	Theatre	פֿילאָדעלפיע | פֿילאדעלפיע | פֿילאדעלפֿיע	130	Thalia Theatre|Bowery Theatre	1	0.228	טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן]
ORG-C00515_Q02	טאַליאַ-טעאַטער (פֿילאָדעלפיע)	Theatre	פֿילאָדעלפיע | פֿילאדעלפיע | פֿילאדעלפֿיע	120	People's Theatre NY	1	0.228	טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן]
ORG-C01688	טשילדערן דזשעקעט מעיקערס יוניאָן	Trade Union / Professional Association	ניו יארק	442	Yiddish artists union	1	0.224	קרעמער לואיס
ORG-C03697	יידישן נאַציאָנאַלדאַט	Jewish political bodies	קראָקע	442	Yiddish artists union	1	0.224	שיפּער יצחק (איגנאַץ) דר.
ORG-C03698	יידישן זעלבסטשוץ-רעגימענט	Military	קראָקע	442	Yiddish artists union	1	0.224	שיפּער יצחק (איגנאַץ) דר.
ORG-C03701	יידישער קאָלאָ	Jewish political bodies		442	Yiddish artists union	1	0.224	שיפּער יצחק (איגנאַץ) דר.
ORG-C01091	פרעזידענט טעאַטער	Theatre	ניו יאָרק | ניו יארק	263	גרויסע טעאַטער	1	0.221	שושנה, ר
ORG-C01297	דאָס נייע פּליטים-טעאַטער	Theatre	ניו יאָרק	500	ריגער יידישן טעאַטער	1	0.221	שושנה, ר
ORG-C01299	אַנסאַמבל-טעאַטער	Theatre	ניו יאָרק	118	National Theatre	1	0.221	שושנה, ר
ORG-C00840_Q07	יידישן פֿאָלקס-טעאַטער	Theatre	אָרגענטינע	541	ווילנער יידישן פֿאָלקס-טעאַטער	1	0.213	זאַסלאַווסקי, רודאָלף [ראובן-לייב]
ORG-C06776	אָדלער-ליפּאָווסקיס צירק-טעאַטער	Theatre	לאָדזש	147	Kaminski's Theatre	1	0.213	זאַסלאַווסקי, רודאָלף [ראובן-לייב]
ORG-C07285	פולטאָן טעאַטער	Theatre	ניו יאָרק	365	Public Theatre (Folks Theatre)	1	0.213	בלייך, יהודה
