File	"""action"""	context	Column 1	place	toKima	place clustered	dodgy reconciliation for place	initial reconciliation for place	province	province clustered	province Qid	country	country cluster	Country Qid
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_588_r_2	געטאָ	געטאָ	געטאָ								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_588_r_3	קרים	קרים	קרים								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_589_tr_1739220603	אויפֿן פֿראָנט	אויפֿן פֿראָנט	אויפֿן פֿראָנט								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_589_tr_1739220595	טאַשקענט	טאַשקענט	Tashkent	Q269	Q269						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_589_tr_1739220611	מיידאַנעק	מיידאַנעק	Majdanek	Q153324							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_589_r_6	קיעוו	קיעוו	Kyiv	Q1899	Q1899						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_590_tr_1739222452	פּוילן	פּוילן								פּוילן	
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_590_tr_1739222448	לונינעץ	לונינעץ	Luninyets	Q956132							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_592_r_4	אויף דער אַרישער זייט	אויף דער אַרישער זייט	אויף דער אַרישער זייט								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_592_tr_1739221199	קאָנצענטראַציע-לאַגער	קאָנצענטראַציע-לאַגער	קאָנצענטראַציע-לאַגער						עסטלאַנד	Estonia	Q191
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_592_r_6	אויפֿן פֿראָנט	אויפֿן פֿראָנט	אויפֿן פֿראָנט								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_592_r	אויפֿן פֿראָנט	אויפֿן פֿראָנט	אויפֿן פֿראָנט								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_592_r_7	זשיטאָמיר	זשיטאָמיר	Zhytomyr	Q156713	Q156713						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_592_r_9	אויפֿן פֿראָנט	אויפֿן פֿראָנט	אויפֿן פֿראָנט								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_592_r_10	באַרדיטשעוו	באַרדיטשעוו	Berdychiv	Q158799	Q158799						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_592_r_12	קאָוונע	קאָוונע	Kaunas	Q4115712	Q4115712						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_592_r_14	קאָוונער געטאָ	קאָוונער געטאָ	Kaunas Ghetto	Q3208684							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_592_r_16	קאָוונע	קאָוונע	Kaunas	Q4115712	Q4115712						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_592_r_18	קאָוונע	קאָוונע	Kaunas	Q4115712	Q4115712						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_592_r_20	דער דאָרטיקער געטאָ	דער דאָרטיקער געטאָ	דער דאָרטיקער געטאָ								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_592_r_26	קאָוונער געטאָ	קאָוונער געטאָ	Kaunas Ghetto	Q3208684							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_592_r_32	לוואָוו	לוואָוו	Lviv	Q36036							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_592_r_34	לוואָווער געטאָ	לוואָווער געטאָ	Lviv Ghetto	Q1882							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_592_r_36	מינסקער געטאָ	מינסקער געטאָ	Minsk Ghetto	Q153336	Q153336						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_593_r_4	אויפֿן פֿראָנט	אויפֿן פֿראָנט	אויפֿן פֿראָנט								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_593_tr_1739221062	ריגער געטאָ	ריגער געטאָ	Riga Ghetto	Q698342	Q698342						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_593_r_10	אויף אַ שייף	אויף אַ שייף	אויף אַ שייף								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_593_r_11	מינסקער געטאָ	מינסקער געטאָ	Minsk Ghetto	Q153336	Q153336						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_593_r_12	לוואָווער געטאָ	לוואָווער געטאָ	Lviv Ghetto	Q1882							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_593_tr_1739221042	אויפֿן פֿראָנט	אויפֿן פֿראָנט	אויפֿן פֿראָנט								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_593_r_13	אויפֿן פֿראָנט	אויפֿן פֿראָנט	אויפֿן פֿראָנט								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_593_r_14	אויפֿן פֿראָנט	אויפֿן פֿראָנט	אויפֿן פֿראָנט								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_593_r_15	אויפֿן פֿראָנט	אויפֿן פֿראָנט	אויפֿן פֿראָנט								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_593_r_16	אויפֿן פֿראָנט	אויפֿן פֿראָנט	אויפֿן פֿראָנט								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_593_r_22	אויפֿן פֿראָנט	אויפֿן פֿראָנט	אויפֿן פֿראָנט								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_593_r_24	אויפֿן פֿראָנט	אויפֿן פֿראָנט	אויפֿן פֿראָנט								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_593_r_26	זשיטאָמיר	זשיטאָמיר	Zhytomyr	Q156713	Q156713						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_593_r_34	מאָלינע	מאָלינע	Moline	Q579736							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_597_tr_1739222302	מעקסיקע סיטי	מעקסיקע סיטי	Mexico City	Q1489	Q1489						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_597_r	מימי ביעטש	מימי ביעטש	Miami Beach	Q201516		פלאָרידאָ	פלאָרידאָ				
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_597_tr_1739222301	לאָס אַנדזשעלעס	לאָס אַנדזשעלעס	Los Angeles	Q65	Q65						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_598_tr_1739222546	ניו יאָרק	ניו יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_600_r_77	לאָס אַנדזשעלעס	לאָס אַנדזשעלעס	Los Angeles	Q65	Q65						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_608_r_137	מעקסיקע	מעקסיקע								מעקסיקע	
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_609_r_249	לאָס אַנדזשעלעס	לאָס אַנדזשעלעס	Los Angeles	Q65	Q65						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_615_r_516	אוישוויץ	אוישוויץ	Auschwitz	Q7341	Q7341						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_615_tr_1739221651	וואַרשעווער געטאָ	וואַרשעווער געטאָ	Warsaw Ghetto	Q154607	Q154607						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_615_r_6	דער וואַרשעווער געטאָ	דער וואַרשעווער געטאָ	דער וואַרשעווער געטאָ								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_615_r_11	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_616_r	לאָדזשער געטאָ	לאָדזשער געטאָ	Łódź Ghetto	Q327895	Q327895						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_617_r_221	בעל[זשיץ	בעל[זשיץ	בעל[זשיץ								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_617_r_6	מעקסיקע סיטי	מעקסיקע סיטי	Mexico City	Q1489	Q1489						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_617_r_8	טרעבלינקע	טרעבלינקע	Treblinka	Q165517	Q152010						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_618_tr_1739221549	מעקסיקע סיטי	מעקסיקע סיטי	Mexico City	Q1489	Q1489						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	5-facs_618_tr_1739221558	תל-ביב	תל-ביב	תל-ביב								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_11_tr_1747745181	וואַרשע	וואַרשע	Warsaw	Q270	Q270				פּוילן	Poland	Q36
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_18_tr_1747746220	ווין	ווין	Vienna	Q1741	Q1741				עסטרייך	Austria	Q40
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_18_tr_1747746206	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_19_tr_1747746110	לאָנדאָן	לאָנדאָן	London	Q84	Q84						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_20_tr_1747746136	מאָסקווע	מאָסקווע	Moscow	Q649	Q649						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_21_r_2	ניו יאָָרק	ניו יאָָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_22_tr_1747746208	ניו יאָרק	ניו יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_22_tr_1747746198	קאָליפֿאָרניע	קאָליפֿאָרניע	קאָליפֿאָרניע								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_24_r_2	פאַריז	פאַריז	Paris	Q90	Q90						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_28_r_2	אַטלאַנטיק סיטי	אַטלאַנטיק סיטי	Atlantic City	Q157645							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_31_r_1	ניו יאָרק	ניו יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_35_tr_1747746200	טאַשקענט	טאַשקענט	Tashkent	Q269	Q269						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_41_tr_1747746160	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_41_tr_1747746148	ישראל	ישראל	Israel	Q801							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_44_tr_1747746150	לעמבערג	לעמבערג	Lviv	Q36036	Q36036						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_44_tr_1747746152	לאָדזש	לאָדזש	Łódź	Q580	Q580						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_45_r_10	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_46_tr_1747746173	סינסינעטי	סינסינעטי	Cincinnati	Q43196	Q43196						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_47_tr_1747746190	שיקאַגע	שיקאַגע	Chicago	Q1297	Q1297						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_48_tr_1747746197	סאַמאַרקאַנד	סאַמאַרקאַנד	Samarkand	Q5753	Q5753						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_49_tr_1747746207	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_50_tr_1747746182	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_52_tr_1747746168	ניו יאָרק	ניו יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_53_tr_1747746142	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_53_r_13	תל אביב	תל אביב	Tel Aviv	Q33935	Q33935						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_55_tr_1747746152	מימי ביעטש	מימי ביעטש	Miami Beach	Q201516							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_56_tr_1747746145	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_57_r_21	ברוקלין	ברוקלין	Brooklyn	Q18419	Q18419	ניו יאָרק	New York City	Q60			
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_58_tr_1747746187	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_58_r	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_58_r_23	סאַן פֿראַנציסקאָ	סאַן פֿראַנציסקאָ	San Francisco	Q62							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_59_tr_1747746198	ניו יאָרק	ניו יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_62_tr_1747746110	ניו יאָרק	ניו יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_63_r_13	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_65_tr_1747746187	לעמבערג	לעמבערג	Lviv	Q36036	Q36036						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_66_tr_1747746213	ניו יאָרק	ניו יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_68_tr_1747746105	לענינגראַד	לענינגראַד	Saint Petersburg	Q656	Q656						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_69_tr_1747746123	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_69_r_13	תל-אביב	תל-אביב	Tel Aviv	Q33935	Q33935						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_70_tr_1747746125	לאָס אַנדזשעלעס	לאָס אַנדזשעלעס	Los Angeles	Q65	Q65						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_71_r_13	קליוולאַנד	קליוולאַנד	Cleveland	Q37320	Q37320						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_76_tr_1747746207	סאַן פּאַולאַ	סאַן פּאַולאַ	São Paulo	Q174							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_77_tr_1747746215	ניו יאָרק	ניו יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_78_tr_1747746117	סידני	סידני	Sydney	Q3130					אויסטראַליע	Australia	Q408
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_78_tr_1747746119	מיאַמי	מיאַמי	Miami	Q8652							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_90_r_2	סאָוויעט-רוסלאַנד	סאָוויעט-רוסלאַנד	Soviet Union	Q15180							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_92_r	כערסאָן	כערסאָן	Kherson	Q156732	Q156732						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_94_tr_1747746225	לעמבערג	לעמבערג	Lviv	Q36036	Q36036						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_97_tr_1747746189	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_99_tr_1747746187	לאָס אַנדזשעלעס	לאָס אַנדזשעלעס	Los Angeles	Q65	Q65						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_101_tr_1747825157	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_102_tr_1747825160	פֿילאַדעלפיע	פֿילאַדעלפיע	Philadelphia	Q1345	Q1345						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_103_tr_1747825052	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_104_tr_1747825074	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_104_tr_1747825067	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_106_tr_1747825134	לעמבערג	לעמבערג	Lviv	Q36036	Q36036						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_108_r_4	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_110_tr_1747825093	דעמבאָ	דעמבאָ	דעמבאָ								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_110_tr_1747825087	חיפֿה	חיפֿה	Haifa	Q41621	Q41621						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_112_tr_1747825141	קליניק פֿון פּראָפ. באַרכאַרדט	קליניק פֿון פּראָפ. באַרכאַרדט	קליניק פֿון פּראָפ. באַרכאַרדט			בערלין	בערלין				
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_116_tr_1747825108	תל-אביב	תל-אביב	Tel Aviv	Q33935	Q33935				ישראל	Israel	Q801
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_124_tr_1747825116	מימי ביעטש	מימי ביעטש	Miami Beach	Q201516							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_125_tr_1747825049	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_125_tr_1747825044	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_126_tr_1747825032	ווין	ווין	Vienna	Q1741	Q1741						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_133_tr_1747825075	לאָנדאָן	לאָנדאָן	London	Q84	Q84						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_134_tr_1747825144	לאָנדאָן	לאָנדאָן	London	Q84	Q84						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_140_tr_1747825131	לאָס אַנדזשעלעס	לאָס אַנדזשעלעס	Los Angeles	Q65	Q65						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_140_tr_1747825133	לאָס אַנדזשעלעס	לאָס אַנדזשעלעס	Los Angeles	Q65	Q65	קאָליפֿאָרניע	קאָליפֿאָרניע				
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_141_tr_1747825143	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_142_tr_1747825183	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_147_tr_1747825115	יאָסי	יאָסי	Iași	Q46852	Q46852						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_149_tr_1747825121	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_149_tr_1747825109	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_150_tr_1747825137	לאָס אַנדזשעלעס	לאָס אַנדזשעלעס	Los Angeles	Q65	Q65	קאָליפֿאָרניע	קאָליפֿאָרניע				
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_150_tr_1747825139	לאָנדאָן	לאָנדאָן	London	Q84	Q84						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_152_tr_1747825185	פאַריז	פאַריז	Paris	Q90	Q90						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_153_tr_1747825076	אָדעס	אָדעס	Odesa	Q1874	Q1874						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_155_tr_1747825066	משוגעים-הויז	משוגעים-הויז	משוגעים-הויז								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_156_tr_1747825108	קאָלאָראַדאָ	קאָלאָראַדאָ	Colorado Springs	Q49258							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_156_tr_1747825094	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_156_tr_1747825099	גאַליציע	גאַליציע								גאַליציע	
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_158_tr_1747825103	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_160_tr_1747825040	סט. פאַולאָ	סט. פאַולאָ	São Paulo	Q175					בראַזיל	Brazil	Q155
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_162_tr_1747825124	נ. י.	נ. י.	נ. י.								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_162_tr_1747825129	בוקאַרעשט	בוקאַרעשט	Bucharest	Q19660	Q19660						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_163_tr_1747825045	טשעלונקינסקאָיע	טשעלונקינסקאָיע	טשעלונקינסקאָיע			הינטער מאָסקווע	הינטער מאָסקווע				
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_165_tr_1747825091	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_170_tr_1747825074	לאָס אַנדזשעלעס	לאָס אַנדזשעלעס	Los Angeles	Q65	Q65						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_172_tr_1747825165	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_174_tr_1747825082	תל אביב	תל אביב	Tel Aviv	Q33935	Q33935						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_174_tr_1747825098	מאָוונט סיני האָספּיטאָל	מאָוונט סיני האָספּיטאָל	New York City	Q60		ניו-יאָרק	New York City	Q60			
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_176_tr_1747825145	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_177_tr_1747825182	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_178_tr_1747825078	קליוולאַנד	קליוולאַנד	Cleveland	Q37320	Q37320						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_180_tr_1747825079	ניו יאָרק	ניו יאָרק	New York City	Q60	Q60				אַמעריקע	United States	Q30
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_183_tr_1747825124	בוקאַרעשט	בוקאַרעשט	Bucharest	Q19660	Q19660						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_185_tr_1747825159	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_186_tr_1747825065	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_187_tr_1747825092	אויפֿן וועג פֿון מינעאָפּאָלס קיין דענווער	אויפֿן וועג פֿון מינעאָפּאָלס קיין דענווער	אויפֿן וועג פֿון מינעאָפּאָלס קיין דענווער								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_190_tr_1747825169	מאָנטרעאָל	מאָנטרעאָל	Montreal	Q340							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_196_tr_1747825036	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_196_tr_1747825052	ראָטשילד שפּיטאָל	ראָטשילד שפּיטאָל	ראָטשילד שפּיטאָל						פאַריז	פאַריז	
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_199_tr_1747825102	דואַרטי סאַנאַטאָריום	דואַרטי סאַנאַטאָריום	דואַרטי סאַנאַטאָריום			לאָס אַנדזשעלעס	Los Angeles	Q65			
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_202_tr_1747928985	שיקאַגע	שיקאַגע	Chicago	Q1297	Q1297						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_203_tr_1747929008	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_210_tr_1747928994	לאָמזשע	לאָמזשע	Łomża	Q183151							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_224_tr_1747929007	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_226_tr_1747928986	ווילנע	ווילנע	Vilnius	Q216	Q216						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_226_tr_1747928999	אוראַלסק	אוראַלסק	Oral	Q487439							
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_231_tr_1747928940	מינסק	מינסק	Minsk	Q2280	Q2280						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_237_tr_1747928923	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_241_tr_1747928957	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_244_tr_1747928999	לאָדזש	לאָדזש	Łódź	Q580	Q580						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_244_tr_1747929009	בערלין	בערלין	Berlin	Q64	Q64						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_247_tr_1747928913	בען	בען	בען								
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_248_tr_1747928920	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_251_tr_1747928968	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_253_tr_1747928926	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_255_tr_1747928944	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_260_tr_1747928893	מאָסקווע	מאָסקווע	Moscow	Q649	Q649						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_264_tr_1747928896	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_265_tr_1747928990	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (7).tsv		death	6-facs_265_r	בראַנקסער שפּיטאָל	בראַנקסער שפּיטאָל	New York City	Q60							
