cluster_id	canonical_yiddish	org_type	n_person_edges	n_distinct_persons	top_edge_types	n_located_in	places_en	sample_persons	cluster_size	existing_review_status
ORG-C04629	י. ל. פּאָזנאַנסקי	firm	2	1	employed_by:2	1	Łódź	משה לאׇטטע (מ. מאַקסימאׇוו)(2374)	1	in_review_file_no_decision
ORG-C04630	געזעלשאַנט „דראַמאַטישע קונסט“	theatre	2	1	founded:1|performed_with:1	1	Łódź	משה לאׇטטע (מ. מאַקסימאׇוו)(2374)	1	in_review_file_no_decision
ORG-C04753	האַמלעט דראַמאָטיק קלוב	theatre	2	1	founded:1|staff_of:1	0		דזשוּליוּס מייקעלזאׇהן (יהוּדה מיכעלזאָהן)(2462)	1	in_review_file_no_decision
ORG-C04778	ליטעראַריש-אַרטיסטישן קרייז	theatre	2	1	founded:1|managed:1	1	Warsaw	מאַרקאָ מילנער (מאַרעק)(2480)	1	in_review_file_no_decision
ORG-C04779	אָרגאַן פֿון פּראָפעסיאנעלן יידישן אַרטיסטפאַראיין	newspaper	2	1	founded:1|employed_by:1	0		מאַרקאָ מילנער (מאַרעק)(2480)	1	in_review_file_no_decision
ORG-C04781	געזעלשאַפט פאַר יידישער פאלק-מוזיק	organization	2	1	member_of:1|work_published_by:1	1	Leipzig	מוישע מילנער(2481)	1	in_review_file_no_decision
ORG-C03708_Q03	די וואָך	newspaper	2	1	employed_by:1|work_published_by:1	1	New York City	מנחם גאָלדבּערג (מנחם)(2439)	1	in_review_file_no_decision
ORG-C04846	כאַרקאָווער טאַנץ-שול	school	2	1	studied_at:1|performed_with:1	1	Kharkiv	יעלענאַ מענעס(2446)	1	in_review_file_no_decision
ORG-C04852	האור	theatre	2	1	founded:1|staff_of:1	1	Czechoslovakia	יצחק מעסטעל (יונה)(2450)	1	in_review_file_no_decision
ORG-C04855	"נאַציאָנאָלן פֿאַראיין „קדימה"""	union	2	1	member_of:1|work_produced_by:1	1	London	מאיר מעסטעל(984)	1	in_review_file_no_decision
ORG-C04908	פּאָי-טעאַטער	theatre	2	1	managed:1|performed_with:1	1	Baltimore	מאריס נאוויקאָוו (בּאַכנאָוו)(2577)	1	in_review_file_no_decision
ORG-C04927	יאָנג מענס דראַמאַטישער קלאָב	troupe	2	1	founded:1|managed:1	1	Chicago	דזשוּליוּס נאַטאַנסאָן (יוליוס, חנינא)(2546)	1	in_review_file_no_decision
ORG-C04928	בערנשטייןס יידישן וואָדעווייל	theatre	2	1	staff_of:1|performed_with:1	1	Cleveland	דזשוּליוּס נאַטאַנסאָן (יוליוס, חנינא)(2546)	1	in_review_file_no_decision
ORG-C04953	פּוילישן דראמאטישן קלאָס ביי דער מוזיקאַלישער געזעלשאַפֿט	school	2	1	studied_at:1|graduated_from:1	1	Warsaw	מאָריץ נאָרוויד (טרעפלער)(2576)	1	in_review_file_no_decision
ORG-C04971	באַוועגלעך טעאָטער פֿון ליבהאָבער-קרייז	theatre	2	1	founded:1|staff_of:1	1	Zhytomyr	יצכאָק נאָרינסקי(2575)	1	in_review_file_no_decision
ORG-C04991	חזן משה באָס	troupe	2	1	performed_with:2	0		אברהם ניימאַן (בּאַראַקאַן)(3809)	1	in_review_file_no_decision
ORG-C05014	ראָפאָלסקיס יידישער דראַמאַטישער סטודיע	theatre	2	1	studied_at:1|performed_with:1	0		לייע נעלסאָן (קאַצנעלסאָן)(2553)	1	in_review_file_no_decision
ORG-C05015	דראַמאַטישער שול מאָרסקאָי	school	2	1	studied_at:1|performed_with:1	0		לאה נעמי (קיגעל-אייזענבּערג)(2539)	1	in_review_file_no_decision
ORG-C05062	אידישע דראַמאַטישע טעאַטער פֿון ליטע	theatre	2	1	founded:1|staff_of:1	0		ליפּמאַן סאָקאָלאָוו (סאָקאָלאָווסקי)(3006)	1	in_review_file_no_decision
ORG-C05110	ענטיןס דראַמאַטישן קלוב	theatre	2	1	member_of:1|performed_with:1	1	Philadelphia	וויליאַם סיגעל(910)	1	in_review_file_no_decision
ORG-C05123	מאָשקאָוויטשן אין טעאַטער	theatre	2	1	performed_with:2	2	London|England	סאַראַ סילוויאַ (גאָלדשטיין)(3043)	1	in_review_file_no_decision
ORG-C05124	יידישן טעאַטער א'ד פֿון י. נוגער	theatre	2	1	performed_with:2	2	Buenos Aires|Argentina	סאַראַ סילוויאַ (גאָלדשטיין)(3043)	1	in_review_file_no_decision
ORG-C05128	כאָריסטן-יוניע	union	2	1	member_of:1|delegate_of:1	0		משה סימאָנאָף(720)	1	in_review_file_no_decision
ORG-C05210	ריגער פּאָליטעכניקום	school	2	1	studied_at:1|graduated_from:1	1	Riga	תּנחוּם עדוּת(1543)	1	in_review_file_no_decision
ORG-C05213	פֿרייטיק	newspaper	2	1	founded:1|employed_by:1	0		תּנחוּם עדוּת(1543)	1	in_review_file_no_decision
ORG-C05222	קלאַסיקע קאָמערץ-שול	school	2	1	graduated_from:1|performed_with:1	0		יוראַעל עדעלמאַן(1538)	1	in_review_file_no_decision
ORG-C05229	אוקראַאינישע קינאַ-פֿאַרוואַלטונג	organization	2	1	performed_with:1|staff_of:1	0		יוראַעל עדעלמאַן(1538)	1	in_review_file_no_decision
ORG-C05239	מאָגולעסקאָ-גאָלדפאַדעןס טרופּעס	troupe	2	1	performed_with:2	1	Romania	פּאַוּלינאַ עדעלשטיין (פינקעלשטיין)(718)	1	decision=SPLIT
ORG-C05243	ערשטע יידישע נאַציאָנאַל-ראדיקאלע פאָלקסשול	school	2	1	graduated_from:1|employed_by:1	0		חיים ע(ה)רענרייך (ה)(1544)	1	in_review_file_no_decision
ORG-C05245	Medicinisch Chyrurgisch Lehrnanstalt zu Lemberg	school	2	1	studied_at:1|graduated_from:1	1	Lviv	שלמה עטינגער (דר.)(1597)	1	in_review_file_no_decision
ORG-C05252	ליידים גאָרמענט וואירקערס יוניאָן	union	2	1	employed_by:1|executive_of:1	0		מאַניע עלגאַרד (מרים בּובער)(1562)	1	in_review_file_no_decision
ORG-C05303	פּיפּלס קראָן דראַמאָטיק סאָסייטי	theatre	2	1	founded:1|performed_with:1	0		וויליאַם עפּשטיין (הלל)(1585)	1	in_review_file_no_decision
ORG-C05309	יידישע סאַציאָליסטישע פעדעראַציע	union	2	1	founded:1|delegate_of:1	0		שכנא עפּשטיין(1584)	1	in_review_file_no_decision
ORG-C06461	דודס האַרפע	union	1	1	founded:1	1	New York City	פּראָפעסאָר משה איש הלוי הורוויץ(684)	1	in_review_file_no_decision
ORG-C00340_Q04	געשאָנאַל-טעאַטער (check)	theatre	1	1	work_produced_by:1	1	Toronto	הירש-מאיר קירשענבוים(2120)	1	in_review_file_no_decision
ORG-C06983	„דאָס נייע אידישע טעאַטער“	theatre	1	1	work_produced_by:1	1	New York City	אברהם פרומקין(1708)	1	in_review_file_no_decision
ORG-C06054	דר. הערצל ציון-קלאָב	union	1	1	founded:1	2	New York City|United States	אַפיש פון דער קבלת-פּנים-פאָרשטעלונג(P-1-facs_180_region_1715801037095_458)	1	in_review_file_no_decision
ORG-C05715	דראַמאַטישן-קלוב	theatre	1	1	performed_with:1	0		ראָזעטא בּיאַליס (בּיאלאסטאצקי)(1294)	1	in_review_file_no_decision
ORG-C06285	אָנגלאָ-דזשויש פּלעי-האוז	theatre	1	1	managed:1	0		שלמה גראָסמאַן(1925)	1	in_review_file_no_decision
ORG-C06312	ביבלישע הייסטאָרישע אָפּערן-געזעלשאָפט	theatre	1	1	founded:1	0		צעזאר גרינבּערג (בּצלאל)(741)	1	in_review_file_no_decision
ORG-C06567	נייבאָרהוד פלייהויז	theatre	1	1	staff_of:1	0		דוד וואַרדי (ראָזענפעלד)(3144)	1	in_review_file_no_decision
ORG-C04344_Q02	עליזעאום טעאַטער	theatre	1	1	performed_with:1	1	Poland	זשאַק לעווי(2271)	1	in_review_file_no_decision
ORG-C06777	דראָמאָטישן קרייז פֿון צימער-מאָלער-פֿאַריין	theatre	1	1	performed_with:1	1	Lviv	לודוויג זאַץ (לוי יצחק)(2837)	1	in_review_file_no_decision
ORG-C05566	לובלינער שטאָט-טעאַטער	theatre	1	1	staff_of:1	2	Lublin|Poland	מארק ארנשטיין (אַנדזשעי מאַרק)(995)	1	in_review_file_no_decision
ORG-C00635_Q02	פאָבליק טעאַטער	theatre	1	1	performed_with:1	1	Philadelphia	סעם קעסטין(2090)	1	in_review_file_no_decision
ORG-C04351	„ציון“-פֿאַרבאַנד	union	1	1	delegate_of:1	1	Iași	יצחק ליבּרעסקאָ (ליבּער)(924)	1	in_review_file_no_decision
ORG-C04412	יוניאָן-וואָדעוויל-הויז	theatre	1	1	work_produced_by:1	0		איזידאָר ליליען(2304)	1	in_review_file_no_decision
ORG-C04445	רוסיש-יידישן אַרבעטער-קלוב און אינסטיטוט	theatre	1	1	performed_with:1	2	London|England	קעני ליפצין (סאַכאַר קריינע סאָניעס)(762)	1	in_review_file_no_decision
ORG-C04464	אחיספר	publisher	1	1	work_published_by:1	1	Warsaw	דער לעבּעדיגער (חיים גוּטמאַן)(2220)	1	in_review_file_no_decision
ORG-C04570	אָרדען דודס האַרפע	union	1	1	executive_of:1	0		זיגמוּנט מאׇגוּלעסקאׇ (זעליג מאָגילעווסקי)(685)	1	in_review_file_no_decision
ORG-C04686	אַדלערס פּולס-טעאַטער	theatre	1	1	performed_with:1	1	New York City	מאָריס מאָשקאָוויטש(2512)	1	in_review_file_no_decision
ORG-C04791	אהבת ציון	association	1	1	founded:1	2	Berlin|Germany	חנן-יעקב מיניקעס(863)	1	in_review_file_no_decision
ORG-C05107	פֿאַראיין „ציון“	theatre	1	1	performed_with:1	2	Vienna|Austria	סיגאַל בן-ציון(2871)	1	in_review_file_no_decision
ORG-C05108	בית-דוד ישיבה	school	1	1	studied_at:1	0		וויליאַם סיגעל(910)	1	in_review_file_no_decision
ORG-C06578	מינטוס	theatre	1	1	staff_of:1	0		מ. וואַרקעל(3282)	1	in_review_file_no_decision
ORG-C02146	פֿאַרלאָג „אַרבעטער וועלט“	publisher	1	1	work_published_by:1	1	Chicago	באָריס קאַדער(3607)	1	in_review_file_no_decision
ORG-C00748_Q01	מאדזשעסטיק-טעאַטער (דעטראיט)	theatre	1	1	managed:1	1	Detroit	אברהם ליטמאַן(2328)	1	in_review_file_no_decision
ORG-C00537	בראָנקסער טעאַטער אַמעריקאַן	theatre	1	1	staff_of:1	1	New York City	יחיאל-מאיר פּאָזנער(2686)	1	in_review_file_no_decision
ORG-C01100	פישזאָנס יידישן טעאַטער	troupe	1	1	staff_of:1	0		יצחק שלאָסבּערג(925)	1	in_review_file_no_decision
ORG-C00159	נאָראַ בעיס-טעאַטער	theatre	1	1	managed:1	0		וויליאַם ראָלאַנד (ראַסקין וועלוועל)(2771)	1	in_review_file_no_decision
ORG-C01159	טעאַטער אויפֿן נאָמען פֿון מאָסקווער סאָוועט	theatre	1	1	staff_of:1	0		ראָבערט פאַלק(1615)	1	in_review_file_no_decision
ORG-C01191	טעאַטער אויף סימאָנס פּאַסאַזש	theatre	1	1	performed_with:1	2	Warsaw|Poland	פּאָליאַ לובעלסקאַ(2345)	1	in_review_file_no_decision
ORG-C01269	דראַמאַטישע סעקציע ביים „השומר הצעיר“	theatre	1	1	performed_with:1	2	Chełm|Poland	צילע צוקערבערג-זילבערצווייג(3429)	1	in_review_file_no_decision
ORG-C01283	סאָלעיל טעאַסער	theatre	1	1	performed_with:1	1	Argentina	לעאָן ליבגאָלד(2291)	1	in_review_file_no_decision
ORG-C01320	„סירענאַ“-טעאַטער	theatre	1	1	performed_with:1	0		יצחק ראָטבלום (רויטבּלום)(3817)	1	in_review_file_no_decision
ORG-C06534	הבימה-טעאַטער	theatre	1	1	performed_with:1	1	Metz	איטע וואָלהענדלער-קרויזע(3281)	1	in_review_file_no_decision
ORG-C01325	גילד-טעאַטער	theatre	1	1	performed_with:1	0		רוט זאַהאַוואַ (גאָלדשטיין)(3335)	1	in_review_file_no_decision
ORG-C01339	דראַמאַטישער געזעלשאַפֿט „מוזאָ“	theatre	1	1	performed_with:1	0		אַניטאַ פריינטלעך-שעף (חנה)(1689)	1	in_review_file_no_decision
ORG-C01395	הבימה בלבוב	theatre	1	1	performed_with:1	1	Lviv	זיגמונט לעוו (אשר זעליג)(2246)	1	in_review_file_no_decision
ORG-C01437	דראַמאַטישער שול פֿון צעזאָר גרינבערג	school	1	1	studied_at:1	0		מאַקס ראָזען(2775)	1	in_review_file_no_decision
ORG-C01967	אַדלערס „טאָליאַ“-טעאַטער	theatre	1	1	performed_with:1	2	New York City|United States	יאָזעף שערמאַן(3623)	1	in_review_file_no_decision
ORG-C05966	טעאַטער-גילד	theatre	1	1	performed_with:1	0		עגאָן בּרעכער(1382)	1	in_review_file_no_decision
ORG-C07106	געריק טעאַטער	theatre	1	1	staff_of:1	1	New York City	עמנואל רייכער(3490)	1	in_review_file_no_decision
ORG-C06972	סיטי סענטער אָפּערע קאָמפּאָני	theatre	1	1	staff_of:1	1	New York City	קאַנדעל, ה. א.(P-4-facs_100_r)	1	in_review_file_no_decision
ORG-C07012	טעאַטער-גרופּע ביי דער קהלה	troupe	1	1	staff_of:1	1	Mexico City	עזרא הררי(1971)	1	in_review_file_no_decision
ORG-C07312	יידישע וואַנדער-טרופּעס	troupe	1	1	performed_with:1	1	United States	שרה דזשאַקלין-האַמער(2047)	1	decision=DESCRIPTIVE
ORG-C06947_Q01	יידישן צענטער	theatre	1	1	staff_of:1	1	Philadelphia	אברהם האָכבּאַן(2008)	1	in_review_file_no_decision
ORG-C07383	קרייטיוו טייטער	theatre	1	1	staff_of:1	1	Philadelphia	ר. בּן-אַרי (חיים-זאב רייקין)(3484)	1	in_review_file_no_decision
ORG-C07469	עזרא	organization	1	1	founded:1	0		הענרי לעפהאָוויטש (הענרי לעפקאׇוויטש)(3603)	1	in_review_file_no_decision
ORG-C06923	ר. סי. עי.-וויקטאָר קאָמפּאַני	publisher	1	1	work_published_by:1	0		הענרי רוסאָטאַ (חיים נעסוויזשקי)(850)	1	in_review_file_no_decision
ORG-C04687	מאָלווינע לאָבעלס ראָיאַל-טעאַטער	theatre	1	1	performed_with:1	1	New York City	מאָריס מאָשקאָוויטש(2512)	1	in_review_file_no_decision
ORG-C03223	גורדוניה	union	1	1	executive_of:1	1	Riga	רפאל סמאַרגאָנסקי (שמאַרגאָן)(3000)	1	in_review_file_no_decision
ORG-C03679	סטודיע ביים קאָוונער „קינדער הויז“	school	1	1	staff_of:1	1	Kaunas	משה גורוויטש(1943)	1	in_review_file_no_decision
ORG-C01847	יידישן מוסטער און קינסטלערטעאַטער	theatre	1	1	performed_with:1	1	Romania	אַדאָלף פעניגשטיין(3594)	1	in_review_file_no_decision
ORG-C06151	ביי גליקמאַן	troupe	1	1	performed_with:1	1	Chicago	סאָניאַ גורסקאַ (פריידע-שיינע גורעוויטש)(1942)	1	in_review_file_no_decision
ORG-C03816	אסתר רחל קאמינסקאַ טעאַטער	theatre	1	1	performed_with:1	0		חיים-ברוך ווישאָגראָד(P-5-facs_617_tr_1739221426)	1	in_review_file_no_decision
ORG-C02296	פֿאַרלאַג אידיש	publisher	1	1	work_published_by:1	1	New York City	אברהם רייזען(3654)	1	in_review_file_no_decision
ORG-C01560	דראַמאָטישער גרופּע	troupe	1	1	performed_with:1	0		טאָטשיא אַרצישעווסקאַ (ליפסקי, קראַטקאַ)(3456)	1	in_review_file_no_decision
ORG-C02346	דראַמע-סענטער	theatre	1	1	founded:1	1	Cleveland	קליוולאַנד טעאַטער סטודיאַ ביי דער אידישער קולטור-געזעלשאַפט(P-6-facs_435_r)	1	in_review_file_no_decision
ORG-C02377	יידישער טעאַטער אַנסאַמבל	troupe	1	1	affiliated_with:1	0		דוד בּרוין(1409)	1	decision=DESCRIPTIVE
ORG-C01775	וו. פּ. אַ-טעאַטער-פּראָיעקט	theatre	1	1	performed_with:1	0		שמעון טרייבוש(3088)	1	in_review_file_no_decision
ORG-C01685_Q02	שטאָט-ראַט	council	1	1	delegate_of:1	1	Łódź	ישעיה אוגער(3128)	1	in_review_file_no_decision
ORG-C02600	די יידישע ביזנעס וועלט	newspaper	1	1	founded:1	2	Chicago|United States	ישעיה אוגער(3128)	1	in_review_file_no_decision
ORG-C02601	קאָנצענטראַציע-לאַגער אויף 117 זגערזשער גאַס	theatre	1	1	performed_with:1	1	Łódź	ישעיה אוגער(3128)	1	in_review_file_no_decision
ORG-C02602	הויכשל פון קעניגסבערג	school	1	1	studied_at:1	2	Kaliningrad (Russia)|Germany	ישעיה אוגער(3128)	1	in_review_file_no_decision
ORG-C02604	קראָקעווער יידישן טעאַטער א'ד פֿון עבעל	theatre	1	1	performed_with:1	1	Kraków	סאמי אוריך (שמאי, גדליהו)(985)	1	in_review_file_no_decision
ORG-C02613	רעווי-טעאַטער 'אַזאַועל'	theatre	1	1	performed_with:1	0		פּעפּי אוריך (פּערל)(3131)	1	in_review_file_no_decision
ORG-C02615	פאַרלאַג 'די צייט'	publisher	1	1	work_published_by:1	2	Warsaw|Poland	אהרן איינהורן(1550)	1	in_review_file_no_decision
ORG-C02619	די יידישע בערזע	newspaper	1	1	managed:1	0		חיים-יענקל בזשוסטאָווסקי (בריסטאָווסקי)(1291)	1	in_review_file_no_decision
ORG-C02620	דער תכשיט	newspaper	1	1	managed:1	0		חיים-יענקל בזשוסטאָווסקי (בריסטאָווסקי)(1291)	1	in_review_file_no_decision
ORG-C02621	ביאַליסטאָקער ליטעראַטן-פאַריין	union	1	1	member_of:1	1	Białystok	חיים-יענקל בזשוסטאָווסקי (בריסטאָווסקי)(1291)	1	in_review_file_no_decision
ORG-C02626	קולטור-הויז	theatre	1	1	staff_of:1	1	Łódź Ghetto	דוד בייגעלמאַן(1239)	1	in_review_file_no_decision
ORG-C02627_Q01	קליינ-קונסט-טעאַטער	theatre	1	1	founded:1	1	Łódź Ghetto	דוד בייגעלמאַן(1239)	1	in_review_file_no_decision
ORG-C02629	יידישער בינע אין ווין	theatre	1	1	performed_with:1	2	Vienna|Austria	ראַשעל בּערגער(1265)	1	in_review_file_no_decision
ORG-C02630	דייטשע טעאַטערס	theatre	1	1	studied_at:1	2	Vienna|Austria	ראַשעל בּערגער(1265)	1	in_review_file_no_decision
ORG-C02632	זונטיק-האַנדלס-שול	school	1	1	graduated_from:1	0		אַדאָלף בּערמאַן(1277)	1	in_review_file_no_decision
ORG-C02636	געזאַנג און טאַנץ קאַפּעלע	troupe	1	1	performed_with:1	1	Poland	אַדאָלף בּערמאַן(1277)	1	in_review_file_no_decision
ORG-C02641	וואַרשטאָט פֿון ראַזיר-אָפּאַראַטן	workshop	1	1	employed_by:1	1	Warsaw Ghetto	אַרנאָלד (א. גינזבּורג)(3497)	1	in_review_file_no_decision
ORG-C02642	לאָדזשער יידישע וואָרעווייל-הייזער	theatre	1	1	performed_with:1	1	Łódź	הערש באַלברסקי(1220)	1	in_review_file_no_decision
ORG-C02647	יידישן טעאַטער א'אַ פֿון היים סאַנדלער	theatre	1	1	performed_with:1	1	Warsaw Ghetto	הערש באַלברסקי(1220)	1	in_review_file_no_decision
ORG-C02650_Q02	ווענוס	theatre	1	1	performed_with:1	2	Lublin|Poland	מאַקס בּרין(1392)	1	in_review_file_no_decision
ORG-C01133_Q08	ישיבה	school	1	1	studied_at:1	2	Sochaczew (Poland)|Poland	יחיאל בוים(3444)	1	in_review_file_no_decision
ORG-C02656	לעאַ-פֿילם	theatre	1	1	founded:1	2	Warsaw|Poland	יחיאל בוים(3444)	1	in_review_file_no_decision
ORG-C02658	יידישע צייטונגען	newspaper	1	1	employed_by:1	1	Poland	יחיאל בוים(3444)	1	in_review_file_no_decision
ORG-C02662	פעבוס	film_company	1	1	performed_with:1	1	Berlin	יוליוס (יידל) גוטמאַן (יהודה-יוסף)(1953)	1	in_review_file_no_decision
ORG-C02663	יעקב גאָרדין-פאַריין	union	1	1	executive_of:1	1	Lviv	יוליוס (יידל) גוטמאַן (יהודה-יוסף)(1953)	1	in_review_file_no_decision
ORG-C02666	4-קלאַסיקע רוסישע מלוכה-שול פֿאַר יידן	school	1	1	graduated_from:1	0		יעקב וואַקסמאַן(3139)	1	in_review_file_no_decision
ORG-C02669	דאָרפס-פאַרוואַלטונג ביים שטאָט-אַמט	government	1	1	employed_by:1	1	Lublin	יעקב וואַקסמאַן(3139)	1	in_review_file_no_decision
ORG-C02670	דאָרפֿישער פֿאַרוואַלטונג	government	1	1	employed_by:1	0		יעקב וואַקסמאַן(3139)	1	in_review_file_no_decision
ORG-C02673	לובלינער סטודענטן-קרייז	theatre	1	1	work_produced_by:1	1	Lublin	יעקב וואַקסמאַן(3139)	1	in_review_file_no_decision
ORG-C02681	דירעקציע צוזאַמען מיט שוואַרצבאַרד	theatre	1	1	managed:1	0		סאָניאַ ויינבּערג (קאַרל)(3153)	1	in_review_file_no_decision
ORG-C02693	קאַמעראל בינע	theatre	1	1	performed_with:1	1	Warsaw	וויינגאָלד שלמה [ספירידיאָן וואיק (צ) אַ](P-5-facs_58_tr_1733050538)	1	in_review_file_no_decision
ORG-C02694	קליינער שטאָט-זאַל	theatre	1	1	performed_with:1	0		שמעון זאַבּלאָצקי(3516)	1	in_review_file_no_decision
ORG-C02697	קאָנסטיטוציאָנעל-דעמאָקראַטישע פּאַרטיי(קאַדעטן)	party	1	1	member_of:1	0		יעקב וויגאָדסקי דר.(3261)	1	in_review_file_no_decision
ORG-C02699	ליטווישער רעגירונג	government	1	1	executive_of:1	0		יעקב וויגאָדסקי דר.(3261)	1	in_review_file_no_decision
ORG-C02701	יידישער דעמאָקראַטישער קהלה	organization	1	1	executive_of:1	1	Vilnius	יעקב וויגאָדסקי דר.(3261)	1	in_review_file_no_decision
ORG-C02703	אַנטי-היטלער-קאָמיטעט	political organization	1	1	executive_of:1	0		יעקב וויגאָדסקי דר.(3261)	1	in_review_file_no_decision
ORG-C02705_Q01	קאָפע גערטנער	theatre	1	1	performed_with:1	1	Warsaw Ghetto	דוד זיידעמאן(1005)	1	in_review_file_no_decision
ORG-C02707	פּאָניאַטאָווער לאַגער	camp	1	1	performed_with:1	0		דוד זיידעמאן(1005)	1	in_review_file_no_decision
ORG-C02713	קרינסקיס פרויען-גימנאַזיע	school	1	1	studied_at:1	2	Warsaw|Poland	רחל טוּרקאׇוו(3124)	2	in_review_file_no_decision
ORG-C02721	קליין-קונסט-בריגאַדע	troupe	1	1	performed_with:1	1	Pinsk	יוסף חאַש(2109)	1	in_review_file_no_decision
ORG-C02724	געסטאָפּאַ	government	1	1	employed_by:1	0		מיכאל כּץ(2096)	1	in_review_file_no_decision
ORG-C02729	לאָדזשער 'אָפּאָלאַ'-טעאַטער	theatre	1	1	performed_with:1	1	Łódź	צלבה לובאַרטאׇווסקאַ(2344)	1	in_review_file_no_decision
ORG-C02737	עלעקטריקט	publisher	1	1	employed_by:1	1	Vilnius	ליפּאָווסקי, סאַשאַ (שמחה)(P-5-facs_75_tr_1733059379)	1	in_review_file_no_decision
ORG-C02742	יאָק וויפּאַריזשו	theatre	1	1	managed:1	1	Warsaw	מלך פאׇקאׇי (מ. מאַקסימאׇוו)(3811)	1	in_review_file_no_decision
ORG-C02743	יידישן טעאַטער-קאָלעקטיוו	troupe	1	1	founded:1	1	Hrodna	מלך פאׇקאׇי (מ. מאַקסימאׇוו)(3811)	1	decision=DESCRIPTIVE
ORG-C02744	לובזיינער פאָלקשול	school	1	1	studied_at:1	0		יעקב מאַנדעלבּליט(2381)	1	in_review_file_no_decision
ORG-C02745	יידיש-פּוילישער שול	school	1	1	studied_at:1	0		יעקב מאַנדעלבּליט(2381)	1	in_review_file_no_decision
ORG-C02749	'וויקט'-טעאַטער	theatre	1	1	performed_with:1	1	Poland	יעקב מאַנדעלבּליט(2381)	1	in_review_file_no_decision
ORG-C02751	לעמבערגער 'יודנראַט' טעאַטער-ראָט	union	1	1	delegate_of:1	1	Lviv	יעקב מאַנדעלבּליט(2381)	1	in_review_file_no_decision
ORG-C02753	יידישע אונטערערדישע קאַמפס-גרופּע	organization	1	1	founded:1	1	Lviv	יעקב מאַנדעלבּליט(2381)	1	in_review_file_no_decision
ORG-C02754	אברהם פישזאָנען אין כאָר	choir	1	1	performed_with:1	1	Odesa	סאָניאַ אַריעל (בעזמאַן)(1175)	1	in_review_file_no_decision
ORG-C02758	שול פֿון קונסט-מאָלעריי	school	1	1	studied_at:1	0		אברהם אַש (אברהם אווערבוך)(1185)	1	in_review_file_no_decision
ORG-C02627_Q02	קליינ-קונסט-טעאַטער	theatre	1	1	performed_with:1	1	Romania	אברהם אַש (אברהם אווערבוך)(1185)	1	in_review_file_no_decision
ORG-C02766	טשערנאָוויצער קולטור-פּאָלאַטע	theatre	1	1	affiliated_with:1	1	Chernivtsi	גדליה גורמאן(1941)	1	in_review_file_no_decision
ORG-C02772_Q03	באַוועגלעכן יידישן דראַמאַטישן טעאַטער	theatre	1	1	managed:1	1	Kolomyia	בּעטיע גלאַזונאָוו (בונצע טייקין)(1796)	1	in_review_file_no_decision
ORG-C02775	טעכנישער שול פֿון וואַוועלבערג און ראָטוואַנד	school	1	1	studied_at:1	2	Warsaw|Poland	אברהם האַלפּערן(3510)	1	in_review_file_no_decision
ORG-C02778	שפּיטאָל-וועזן אין געטאָ	hospital	1	1	employed_by:1	2	Warsaw|Warsaw Ghetto	אברהם האַלפּערן(3510)	1	in_review_file_no_decision
ORG-C02780	אונגאַרישן טעאַטער	theatre	1	1	employed_by:1	1	Budapest	מלך הערשקאָוויטש(1990)	1	in_review_file_no_decision
ORG-C02781	האָטעל בייערישן הויף	theatre	1	1	work_produced_by:1	0		מלך הערשקאָוויטש(1990)	1	in_review_file_no_decision
ORG-C02783	אשוויענטשים	camp	1	1	performed_with:1	0		מלך הערשקאָוויטש(1990)	1	in_review_file_no_decision
ORG-C02785	דראַמאַטישע קורסן ביי דער 'פרייע יידישע פֿאָלקסבינע'	school	1	1	studied_at:1	0		רחל וויסבּערג(3250)	1	in_review_file_no_decision
ORG-C02786	פּראָפעסיאנעלע טעאַטער 'פרייע יידישע פֿאָלקס-בינע'	theatre	1	1	performed_with:1	0		רחל וויסבּערג(3250)	1	in_review_file_no_decision
ORG-C02788	קאַלישער זומער-טעאַטער	theatre	1	1	performed_with:1	0		פראַניאַ ווינטער (פריידל ראָזענראַט)(3635)	1	in_review_file_no_decision
ORG-C02789	פּוילישן מיניאַטור-טעאטער ראַדיאן	theatre	1	1	performed_with:1	2	Vilnius|Poland	פראַניאַ ווינטער (פריידל ראָזענראַט)(3635)	1	in_review_file_no_decision
ORG-C02790	שטרעמערס טעאַטער	theatre	1	1	performed_with:1	2	Vilnius|Poland	פראַניאַ ווינטער (פריידל ראָזענראַט)(3635)	1	in_review_file_no_decision
ORG-C02791	נחום ליפּאָווסקיס יידיש טעאַטער	theatre	1	1	performed_with:1	0		פראַניאַ ווינטער (פריידל ראָזענראַט)(3635)	1	in_review_file_no_decision
ORG-C02799	דאָס קאַלישער לעבן	newspaper	1	1	work_published_by:1	0		רעגינאַ צוקער (שוואַרצשטיין)(3426)	1	in_review_file_no_decision
ORG-C02801_Q02	מעלאָדי פּאַלאַס	theatre	1	1	performed_with:1	1	Warsaw	רעגינאַ צוקער (שוואַרצשטיין)(3426)	1	in_review_file_no_decision
ORG-C02804	מעטאָל-וואַרשטאַטן	other	1	1	employed_by:1	2	Warsaw|Poland	קאַרל צימבאַליסט (עקיבא)(3405)	1	in_review_file_no_decision
ORG-C02806	זיגמונט פֿיינמאַן אין טעאַטער	theatre	1	1	performed_with:1	1	London	לעאָן קאַליש (לייבּ)(2069)	1	in_review_file_no_decision
ORG-C02810	וואַרשעווער 'מאָמענט'	newspaper	1	1	employed_by:1	1	Warsaw	זישע קאַץ(3546)	1	in_review_file_no_decision
