_ - chunk_number	Archive	File	_ - xml:id	_ - heading	_ - span	_ - entry	_ - credit	_ - subheading	_ - organizations - _ - org_type	_ - organizations - _ - title	clustered organization	_ - organizations - _ - descriptive_name	_ - organizations - _ - relations - _ - category	_ - organizations - _ - relations - _ - specific_relation	_ - organizations - _ - relations - _ - original_sentence	_ - organizations - _ - relations - _ - role_title	_ - organizations - _ - relations - _ - date_start - date	_ - organizations - _ - relations - _ - date_end - date	_ - organizations - _ - locations - _ - settlement	_ - organizations - _ - locations - _ - Venue	_ - organizations - _ - locations - _ - country	_ - organizations - _ - locations - _ - province	_ - organizations - _ - locations - _ - address	_ - organizations - _ - locations - _ - datefrom - date	_ - organizations - _ - locations - _ - dateto - date	_ - organizations - _ - founding_date - date	_ - endnotes - endnotes	_ - family_background - _ - description	_ - family_background - _ - financial	_ - family_background - _ - religion	_ - family_background - _ - theater_connection	_ - family_background - _ - structure	name_type	confidence	review_flag	reviewer_is_person_ref	reviewer_suggested_type	reviewer_org_candidate	reviewer_notes
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_265_tr_1741260315	געליס, לעאָן	497-497				troupe	קאַמינסקי	קאַמינסקי	טרופּע קאַמינסקי	Employment_Performance	performer	קאַמינסקי אין פּוילן	אַקטיאָר				פּוילן	פּוילן												proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_269_tr_1741260221	געשפּאַס, העלענאַ	506-506				troupe	ברידער וויינבערג	ברידער וויינבערג		Employment_Performance	performer	וואָדעוויל מיט די ברידער וויינבערג, פּעפּי ליטמאַן און איצקאָוויטש אין גאַליציע און עסטרייך	וואָדעוויל				גאַליציע און עסטרייך	עסטרייך	גאַליציע											proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_269_tr_1741260221	געשפּאַס, העלענאַ	506-506				troupe	איצקאָוויטש	איצקאָוויטש		Employment_Performance	performer	וואָדעוויל מיט די ברידער וויינבערג, פּעפּי ליטמאַן און איצקאָוויטש אין גאַליציע און עסטרייך	וואָדעוויל				גאַליציע און עסטרייך	עסטרייך	גאַליציע											proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_291_tr_1741260462	דזשייקאָבסאָן, אוירווינג	550-550				troupe			מיט פּנחס טאָמאָשעווסקי	Employment_Performance	performer	געשפּילט ביז 14 יאָר קינדער-ראָלן מיט פּנחס טאָמאָשעווסקי																		descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_300_tr_1741260424	דראַנאָוו, נאַדיאַ [גנעסיע מייטוס]	568-568				troupe	זאַנדבערג	זאַנדבערג		Employment_Performance	performer	געשפּילט צוזאַמען מיט אים אין די טרופּעס פֿון... זאַנדבערג																		proper_name	high	person_ref				
634	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_302_tr_1741260413	האָבער, [?]	572-572	"האָט אין 1894 געשפּילט מיט טאָמאָשעווסקי און רודאָלף מאַרקס אין פֿילאָדעלפיע [ראָל „חיים"" אין „חיים אין אַמעריקע""]."			troupe			מיט טאָמאָשעווסקי און רודאָלף מאַרקס	Employment_Performance	performer	"האָט אין 1894 געשפּילט מיט טאָמאָשעווסקי און רודאָלף מאַרקס אין פֿילאָדעלפיע [ראָל „חיים"" אין „חיים אין אַמעריקע""]."	חיים	1894	1894	פֿילאָדעלפיע								בעסי טאָמאַשעווסקי — „מיין לעבענס געשיכטע“, ז. 131.						descriptive_term	medium	person_ref				
637	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_304_tr_1741260491	האָכבערג, רחל [אַריעל]	575-575	געבוירן 16 מאי 1893 אין לאָדזש, פּוילן. עלטערן — רעסטאָראַן-באַזיצער. געענדיקט אַ פּריוואָט-שול. דורך איר ברודער און אַוועסטער, אַקטיאָרן, געקומען צו דער בינע. אין אָנהייב געשפּילט קינדער-ראָלן ביי זאָנדבערג, דערנאָך אין פֿאַרשיידענע טרופּעס אין אוילן און אין רוסלאַנד. די לעצטע יאָרן שפּילט ה. אין אָרגענטינע, וואו זי איז צוזאַמען מיט איר מאַן, דער דיריגענט און קאָמפּאָזיטאָר מרדכי האָכבערג.	ש. ע.		troupe	זאָנדבערג	זאַנדבערג		Employment_Performance	performer	אין אָנהייב געשפּילט קינדער-ראָלן ביי זאָנדבערג	קינדער-ראָלן												עלטערן — רעסטאָראַן-באַזיצער	modest				proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_319_TextRegion_1708861162622_1148	הייליגמאַן סאַמועל [שמואל העקדישמאַן]	606-606				troupe	קאַמינסקי	קאַמינסקי		Employment_Performance	performer	פאָרט ה. מיט אים קיין אָדעס				אָדעס														proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_335_tr_1741260385	וואַגנער בן-ציון	638-638				theatre	יעוורעיסקי טעאַטער	יעוורעיסקי טעאַטער		Production_Distribution	produced_by	„די פרוי אין קייטן“ (אויפגעפ. 1919 אין אָדעס, אין יעוורעיסקי טעאַטער)		1919		אָדעס	יעוורעיסקי טעאַטער													proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_358_tr_1741260401	וויינבערג, סאָניאַ [קאַרל]	683-683				troupe			ביי קאמינסקי און קאָמפּאָנעיעץ	Employment_Performance	performer	3 חדשים ביי קאמינסקי און קאָמפּאָנעיעץ																		descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_358_tr_1741260401	וויינבערג, סאָניאַ [קאַרל]	683-683				troupe			ביי ליפּאָווסקי	Employment_Performance	performer	2 יאָר ביי ליפּאָווסקי																		descriptive_term	medium	person_ref				
787	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_365_tr_1741260398	ווייסמאַן, בעסי	698-698	"געבוירן אין ניו יאָרק, אַמעריקע. פֿאָטער — דער סופֿלער און פּיעסן-שרייבער ראובן וייסמאַן. אַלס קינד פֿון 4 ביז 10 יאָר געאפּילט קינדער-ראָלן ביי אַדלער און טאָמאָזעווסקי. געענדיקט פּאָבליק-סקול און געונגען אין כאָר, דערנאָך אַ קורצע צייט אין אַ ניו יאָרקער יידישן וואָדעוויל. דעביוטירט אַלס „דאָס דינסטמיידל' אין ראָקאָווס „כאָנטשע אין אַמעריקע"" און שפּעטער געשפּילט צו סעזאָנען אין ברוקלין ביי מינץ (אָ ברודער פֿון מייקל מינץ), ביי לואי גאָלדבערג אין לענאָקס, אין ניישאָנאָל ביי טאָמאָשעווסקי, דערנאָך 3 סעזאָנען אין קעסלערס סעקאָנד-עוועניו-טעאַטער מיט קאַליש, קעסלער, מאָשקאָוויטש און שוואַרץ. וו. האָט די ערשטע קרעאירט די ראָלן פון „נאַטאָשאָ“ אין קאָבריןס יאַנקל בוילע“ און „מערי“ אין אָשס „מאָטקע גנב"", דערנאָך געשפּילט 5 סעזאָנען אין ניישאָנאַל טעאַטער אַלס פּאַרטנערין פֿון לעבעדיעוו און נאָך אָן הפסקה פֿון אַ סעזאָן געשפּילט 1926 אין ליבערטי-טעאַטער ביי איר שוואַגער אָנשל שאָר. זייט דאָמאָלט מער ניט אויפֿגעטראָטן."	מ. ע.		troupe			ביי אַדלער און טאָמאָזעווסקי	Employment_Performance	performer	אַלס קינד פֿון 4 ביז 10 יאָר געאפּילט קינדער-ראָלן ביי אַדלער און טאָמאָזעווסקי	קינדער-ראָלן											"אַלטער עפּשטיין — אינטערעסאַנטע מאָמענטען פון אַקטיאָרען-לעבען, „דער טאָג"", נ. י. 22 דעצעמבער 1918"	פֿאָטער — דער סופֿלער און פּיעסן-שרייבער ראובן וייסמאַן			connected		descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_367_tr_1741260404	ווייסמאַן, העלענאַ	701-701				theatre	ראָזענפעלד	ראָזענפעלד	ראָזענפעלד	Employment_Performance	performer	ווידער אין פּאָריז ביי ראָזענפעלד				פּאָריז														proper_name	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_392_tr_1739715078	זאַסלאַווסקי, רודאָלף [ראובן-לייב]	751-752				theatre	קאמינסקי-טעאַטער	קאַמינסקי-טעאַטער	ניי-געעפֿנטן קאמינסקי-טעאַטער	Employment_Performance	performer	טרעטן אַריין אין ניי-געעפֿנטן קאמינסקי-טעאַטער				וואָרשע														proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_413_r_4	זלאַטאָגאַראָוו, יעפיס [חיים גאָלדענבערג]	793-793				troupe	איצקאָוויטש	איצקאָוויטש		Employment_Performance	performer	איצקאָוויטש																		proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_414_r_304	זעלצער, דזשעני	796-796				troupe			ביי איציקל גאָלדענבערג	Employment_Performance	performer	פֿון 6 ביז 11 יאָר געשפּילט קינדער-ראָלן ביי איציקל גאָלדענבערג	קינדער-ראָלן																	descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_415_r_9	זשעלאַזא, לייזער [זשעלאַזני]	797-797				troupe	זאַנדבערג	זאַנדבערג		Employment_Performance	performer	ווערט ז. אַנגאַזשירט צו זאַנדבערג אין לאָדזש, וואו ער שפּילט 3 יאָר				לאָדזש														proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume_4IIIorg.json	facs_79_tr_1753938275	שימאַנסקי (סיימאַן], אַברהם-שמואל	2561-2561				troupe	זאַנדבערג	זאַנדבערג		Employment_Performance	performer	וואַנדערט איבער פֿאַרשיידענע טרופּעס זאַנדבערג													צוליב מאַטעריעלע אומשטענדן געמוזט אין עלטער פֿון 10 יאָר איבעררייסן די למודים	poor				proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume_4IIIorg.json	facs_79_tr_1753938275	שימאַנסקי (סיימאַן], אַברהם-שמואל	2561-2561				troupe	קאַמינסקי	קאַמינסקי		Employment_Performance	performer	וואַנדערט איבער פֿאַרשיידענע טרופּעס זאַנדבערג, קאַמינסקי																		proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume_4IIIorg.json	facs_99_r_2	קאָוואָלסקי, מתתיהן	2601-2602				troupe	זשיטאָמירסקי	זשיטאָמירסקי	זשיטאָמירסקיס טרופּע	Employment_Performance	performer	פֿון דאָרט צו... זשיטאָמירסקי																		proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume_4IIIorg.json	facs_99_r_2	קאָוואָלסקי, מתתיהן	2601-2602				troupe	זאַנדבערג	זאַנדבערג	זאַנדבערגס טרופּע	Employment_Performance	performer	טרעט ער צוריק אַריין צו... זאַנדבערג																		proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume_4IIIorg.json	facs_99_r_2	קאָוואָלסקי, מתתיהן	2601-2602				troupe	קאַמינסקי	קאַמינסקי	קאַמינסקיס טרופּע	Employment_Performance	performer	טרעט ער צוריק אַריין צו... קאַמינסקי																		proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume_4IIIorg.json	facs_322_tr_1754998441	רייטין (רייצען], דוד	3047-3047				troupe	קאַמינסקי	קאַמינסקי	טרופּע	Employment_Performance	performer	ר. שפּילט דערנאָך אין די טרופּעס פֿון... קאַמינסקי																		proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume_4IIIorg.json	facs_322_tr_1754998441	רייטין (רייצען], דוד	3047-3047				troupe	ראובן פינקעלשטיין	ראובן פינקעלשטיין	יידיש טעאַטער	Employment_Performance	performer	פֿאָרט ער צו ראובן פינקעלשטיין קיין אויסטראַליע, וואו ער שפּילט אייניקע יאָר יידיש טעאַטער						אויסטראַליע												proper_name	high	person_ref				
