cluster_id	canonical_yiddish	org_type	cluster_size	name_variants	extracted_settlements	extracted_addresses	extracted_venues	extracted_countries	candidate_db_ids	candidate_scores	candidate_methods	decision	aligned_db_id	reviewer_notes	reviewer_settlement	reviewer_address	reviewer	reviewed_at
ORG-C01822	טרופּע קאַדיש-כאַש	troupe	4	טרופּע קאַדיש-כאַש | טרופּע קאדיש-חאש | טרופּע קדיש-כאַש														
ORG-C01823	ניי-געגרינדעטן יידישן מלוכה-טעאַטער	theatre	1	ניי-געגרינדעטן יידישן מלוכה-טעאַטער	פינסק				500 | 505 | 472 | 478 | 501	0.706 | 0.676 | 0.647 | 0.647 | 0.647	ipa_phonetic | ipa_phonetic | ipa_phonetic | ipa_phonetic | ipa_phonetic							
ORG-C01824	ברענטש 6 אַרבעטער רינג	union	1	ברענטש 6 אַרבעטער רינג														
ORG-C01825	רוסישער טרופּע פֿון באַגאַטיילאָוו	troupe	1	רוסישער טרופּע פֿון באַגאַטיילאָוו	קיעוו			אוקראינע										
ORG-C01826	„קאָפע ראָיאַל“	restaurant	1	„קאָפע ראָיאַל“	שיקאַגע			אַמעריקע										
ORG-C01827	שיקאַגער יידישע דראַמאַטישע געזעלשאַפט	theatre	2	שיקאַגער יידישע דראַמאַטישע געזעלשאַפט	שיקאַגאָ | שיקאַגע			אַמעריקע	44 | 446	0.706 | 0.647	ipa_phonetic | ipa_phonetic							
ORG-C01828	פּרינצעס טעאַטער	theatre	2	פּרינצעס טעאַטער	שיקאַגע | פֿילאָדעלפיע		פּרינצעס טעאַטער | פּרינצעס-טעאַטער	אַמעריקע	263	0.600	ipa_phonetic							
ORG-C01829	דראַמקרייז אין מילוואָקי	theatre	1	דראַמקרייז אין מילוואָקי	מילוואָקי													
ORG-C01830	פּאַפּסט טעאַטער	theatre	1	פּאַפּסט טעאַטער	מילוואָקי		פּאַפּסט טעאַטער											
ORG-C01831	קולטור קלוב	club	1	קולטור קלוב	לאָס אַנדזשעלעס				47	0.714	ipa_phonetic							
ORG-C01832	בית המדרש ביים אייזערנעם טויער	school	1	בית המדרש ביים אייזערנעם טויער	וואַרשע	אייזערנעם טויער	בית המדרש	פּוילן										
ORG-C01833	וואַרשעווער סינאַגאָגע	religious_institution	4	וואַרשעווער סינאַגאָגע	וואַרשע	דאָנילאָוואַטשעווסקא	דער וואַרשעווער סינאָגאָגע | וואַרשעווער סינאַגאָגע | סינאַגאָגע	פּוילן										
ORG-C01834	פּוילישער בינע	theatre	5	פּוילישער בינע	րաճօմ | לעמבערג | ראַדאָם		յքայՠեր բթնե | פּוילישער בינע											
ORG-C01835	אַלט-נייער שול	synagogue	1	אַלט-נייער שול	ריגע		דער אַלט-נייער שול	לעטלאַנד										
ORG-C01836	סטאַר דראַמאָטיק פֿאַראיין	theatre	1	סטאַר דראַמאָטיק פֿאַראיין														
ORG-C01837	אַטלאַנטיק גאָרדן	theatre	1	אַטלאַנטיק גאָרדן														
ORG-C01838	מעטראָפּאָליטאָן מוזיק האָל	theatre	2	מעטראָפּאָליטאָן מוזיק האָל	בראַנזוויל | ניו יאָרק	פּיטקיין עוועניו	מעטראָפּאָליטאָן מוזיק האָל | מעטראָפּאָליטאָן מוזיק-האָל											
ORG-C01839	איי דאָבל יו, איי דאָבל יו-אַקטיאָרן-יוניע	union	1	איי דאָבל יו, איי דאָבל יו-אַקטיאָרן-יוניע														
ORG-C01840	קעני ליפּצין	troupe	3	קעני ליפּצין | קעני ליפּצינס טרופּע	ניו יאָרק													
ORG-C01841	גאָלד-טעאַטער	theatre	2	גאָלד-טעאַטער	ניו-יאָרק		גאָלד-טעאַטער		509 | 489	0.667 | 0.636	ipa_phonetic | ipa_phonetic							
ORG-C01842	יידישן לעגיאָן	organization	7	יידישן לעגיאָן	לוד	נעבן דער סטאַציע לוד	אַמפיטעאַטער אין לעגיאָן | אַמפיטעאַטער פֿון יידישן לעגיאָן | אָמפיטעאַטער | יידישן לעגיאָן	אָרץ-ישראל | ארץ ישראל | אַמעריקע										
ORG-C01843	פּוילישער דראַמאַטישער שול	school	5	פּוילישער דראַמאַטישער שול	וואַרשע													
ORG-C01844	טרופּע אונטער דער דירעקציע פֿון ציפקוס	troupe	1	טרופּע אונטער דער דירעקציע פֿון ציפקוס														
ORG-C01845	צוזאַמענפֿאָר פֿון די יידישע אַקטיאָרן	union	1	צוזאַמענפֿאָר פֿון די יידישע אַקטיאָרן	קיעוו													
ORG-C01846	"סאָוועטישע ""יידיש קינסטלערישע מלוכה-טעאַטער“"	theatre	1	"סאָוועטישע ""יידיש קינסטלערישע מלוכה-טעאַטער“"	אָדעס													
ORG-C01847	יידישן מוסטער און קינסטלערטעאַטער	theatre	1	יידישן מוסטער און קינסטלערטעאַטער				רומעניע										
ORG-C01848	מאָגולעסקאָס טרופּע	troupe	7	מאָגולעסקאָס טרופּע	בוקאַרעסט | יאָסי | ניו יאָרק		מאָגולעסקאָס טרופּע | רומעניאַ-אָפּערע-הויז | רומעניע	רומעניע	337	0.688	ipa_phonetic							
ORG-C01849	"צירק ""סידאלי"""	theatre	1	"צירק ""סידאלי"""	יאָסי		"צירק ""סידאלי"""	רומעניע										
ORG-C01850	אַקטיאָרן יוניאָן, לאָקאל 2	union	1	אַקטיאָרן יוניאָן, לאָקאל 2														
ORG-C01851	"יעקב פֿיינשטיינס „קינדער-טרופּע"""	troupe	1	"יעקב פֿיינשטיינס „קינדער-טרופּע"""														
ORG-C01852	מאָריס וואַקסמאַן	troupe	1	מאָריס וואַקסמאַן	פּאַריז			פראַנקרייך										
ORG-C01853	וואַנדערנדיקע טרופּעס	troupe	1	וואַנדערנדיקע טרופּעס				רוסלאַנד										
ORG-C01854	בראָנדעסקאָ	troupe	3	בראָנדעסקאָ	געניטשעסק													
ORG-C01855	מלוכהשן יידישן באַוועגלעכן טעאַטער פֿון אוקראינע	theatre	2	מלוכהשן יידישן באַוועגלעכן טעאַטער פֿון אוקראינע			אוקראינע	אוקראינע										
ORG-C01856	רויטער האַמער	theatre	2	רויטער האַמער			אוקראַאינע	אוקראַאינע										
ORG-C01857	ביראָבידזשאַנער יידישער מלוכה-טעאַטער	theatre	1	ביראָבידזשאַנער יידישער מלוכה-טעאַטער	ביראָבידזשאַן				506 | 510 | 472 | 478 | 500	0.879 | 0.727 | 0.697 | 0.697 | 0.697	ipa_phonetic | ipa_phonetic | ipa_phonetic | ipa_phonetic | ipa_phonetic							
ORG-C01858	ווייסרוסישן פֿאָלקס-טעאַטער	theatre	1	ווייסרוסישן פֿאָלקס-טעאַטער	סלאָנים				494	0.731	ipa_phonetic							
ORG-C01859	מישאַ גענפֿערס טרופּע	troupe	1	מישאַ גענפֿערס טרופּע	ווילנע													
ORG-C01860	נחום ליפּאָווסקיס טרופּע	troupe	4	נחום ליפּאָווסקיס טרופּע	ווילנע													
ORG-C01861	טרופּע פון דר. פאול באַראַטאָוו	troupe	2	טרופּע פון דר. פאול באַראַטאָוו			יוגאָסלאַוויע	יוגאָסלאַוויע										
ORG-C01862	"יידישע טעאַטער-סטודיע „פרייקונסט"""	theatre	1	"יידישע טעאַטער-סטודיע „פרייקונסט"""	מאָסקווע													
ORG-C01863	ניישאַצס סינאַגאַגע	synagogue	2	ניישאַצס סינאַגאַגע	יאָסי | יאסי		ניישאַצס סינאַגאַגע | ניישאַצס סינאַגאָגע	רומעניע										
ORG-C01864	פּאָמול ווערדע	theatre	9	פּאָמול ווערדע	יאָס | יאָסי | יאסי		"גאָרטן „פאמול ווערדע“ | יאָסער יידישן גאָרטן-טעאַטער „פּּאָמול ווערדע"" | פּאַמול ווערדי | פּאָמול ווערדי | פּאָמול ווערדע | פּאמול ווערדע | פאָמול ווערדי"	רומעניע	137	0.818	ipa_phonetic							
ORG-C01865	14 סטריט-טעאַטער	theatre	1	14 סטריט-טעאַטער	ניו יארק		14 סטריט-טעאַטער	אַמעריקע										
ORG-C01866	אוירווינג פלייס קונסט-טעאַטער	theatre	7	אוירווינג פלייס קונסט-טעאַטער	ניו יאָרק | ניו יארק	אוירווינג פּלייס	אוירווינג פּלייס קונסט-טעאַטער | אוירווינג פלייס | אוירווינג פלייס קונסט טעאַטער | אוירווינג-פלייס קונסטטעאַטער	אַמעריקע | אמעריקע										
ORG-C01867	חסך פון די יידישע אַקטיאָרן	union	1	חסך פון די יידישע אַקטיאָרן														
ORG-C01868	דאָטש-טעאַטער	theatre	1	דאָטש-טעאַטער					489	0.636	ipa_phonetic							
ORG-C01869	פיבאָדי פלעי האוז	theatre	1	פיבאָדי פלעי האוז	באָסטאָן		פיבאָדי פלעי האוז											
ORG-C01870	שאַמאַ-טעאַטער	theatre	1	שאַמאַ-טעאַטער					489	0.636	ipa_phonetic							
ORG-C01871	באָסטאָן היבריו עקטאָרס יוניאָן	union	1	באָסטאָן היבריו עקטאָרס יוניאָן	באָסטאָן													
ORG-C01872	טרופּע פון סאַמבערג	troupe	2	טרופּע פון סאַמבערג	קרעמענטשוג				483	0.611	ipa_phonetic							
ORG-C01873	האַרלאַמפּ-קאַניעווסקיס טרופּע	troupe	1	האַרלאַמפּ-קאַניעווסקיס טרופּע	פּאָלטאָוואַ													
ORG-C01874	ערשטן יידישן קינסטלער-טעאַטער	theatre	1	ערשטן יידישן קינסטלער-טעאַטער	אָדעס													
ORG-C01875	"זשורנאַל ""ברקאי"""	newspaper	1	"זשורנאַל ""ברקאי"""	יאָהאָנעסבורג													
ORG-C01876	פּילנער ביר-ברויעריי	brewery	1	פּילנער ביר-ברויעריי	ראַדאָמיסל		פּילנער ביר-ברויעריי	אוקראינע										
ORG-C01877	טרופּע פֿון אייזיק סאָמבערג	troupe	1	טרופּע פֿון אייזיק סאָמבערג	קרעמענטשוג													
ORG-C01878	טרופּע פֿון חאַרלאַמפּ-קאַניעווסקי	troupe	1	טרופּע פֿון חאַרלאַמפּ-קאַניעווסקי	פּאָלטאָוואָ													
ORG-C01879	איציקל גאָלדענבערג	troupe	13	איציקל גאָלדענבערג | איציקל גאָלדענבערגס טרופּע | טרופּע פֿון איציקל גאָלדענבערג	בוקאַרעסט | בוקאַרעשט		בוקאַרעסטער זשיגניצא	רומעניע										
ORG-C01880	שלעזינגער טעאַטער-געזעלשאַפט	theatre	1	שלעזינגער טעאַטער-געזעלשאַפט				דרום אָפריקע										
ORG-C01881	לאַגער דעמבאָ	labor camp	1	לאַגער דעמבאָ	דעמבאָ		לאַגער	פוילן										
ORG-C01882	רוסיש-העברעישע גימנאַזיע	school	1	רוסיש-העברעישע גימנאַזיע														
ORG-C01883	צ'ק פֿון ווייסרוסלאַנד און פּוילן	executive committee	1	צ'ק פֿון ווייסרוסלאַנד און פּוילן														
ORG-C01884	פֿאַרייניקטער פּאַרטיי רעכטע פּ'צ	party	1	פֿאַרייניקטער פּאַרטיי רעכטע פּ'צ	וואַרשע			פּוילן										
ORG-C01885	ליגע פֿאַרן אַרבעטנדיקן א'י	organization	1	ליגע פֿאַרן אַרבעטנדיקן א'י														
ORG-C01886	"מפּא""י"	party	1	"מפּא""י"			ישראל	ישראל										
ORG-C01887	בימות ובדים	radio program	1	בימות ובדים			ישראל	ישראל										
ORG-C01888	השחר	newspaper	5	השחר	ווין			עסטרייך										
ORG-C01889	היום	newspaper	3	היום	פּעטערבורג													
ORG-C01890	יודישען פֿאָלקס בלאַט	newspaper	2	יודישען פֿאָלקס בלאַט														
ORG-C01891	יודישע פֿאָלקסביבליאָטעק	newspaper	3	יודישע פֿאָלקסביבליאָטעק														
ORG-C01892	אוניווערזיטעט פֿון ברעסלוי	school	1	אוניווערזיטעט פֿון ברעסלוי	ברעסלוי		אוניווערזיטעט											
ORG-C01893	הדור		2	הדור	וואַרשע				267	0.800	ipa_phonetic							
ORG-C01894	שטייבעל-פֿאַרלאַג	publisher	1	שטייבעל-פֿאַרלאַג	מאָסקווע													
ORG-C01895	התקופה	newspaper	4	התקופה	וואַרשע			פּוילן										
ORG-C01896	בורשטיין	troupe	2	בורשטיין	פאַריז			פראַנקרייך										
ORG-C01897	פּיפּלס פלעיס	theatre	1	פּיפּלס פלעיס	לאָנדאָן		פּיפּלס פלעיס											
ORG-C01898	פֿאַראייניקטע טרופּע	troupe	20	די פאַראייניקטע טרופּע | פאַרייניקטע טרופּע | פֿאַראייניקטע טרופּע | פֿאַרייניקטע טרופּע אין ליטע | פֿאַרייניקטער טרופּע	וואַרשע | לאָדזש | פּעטערבורג | פאַריז		עליזעאום טעאַטער | עליזעום-טעאַטער | רוסלאַנד	ליטע | פּוילן | רוסלאַנד										
ORG-C01899	דראַמאַטישע סטודיע ביים וואַרשעווער יידישן מלוכה-טעאַטער	theatre	1	דראַמאַטישע סטודיע ביים וואַרשעווער יידישן מלוכה-טעאַטער	וואַרשע			פּוילן										
ORG-C01900	וואַרשעווער „הזמיר“	organization	4	וואַרשעווער „הזמיר“	וואַרשע		הזמיר | וואַרשעווער „הזמיר“	פּוילן										
ORG-C01901	אַרבעטער טעאַטער-סטודיע „אַרטעס“	theatre	1	אַרבעטער טעאַטער-סטודיע „אַרטעס“														
ORG-C01902	יידישער רעפּערטואַר טעאַטער	theatre	1	יידישער רעפּערטואַר טעאַטער	לאָס אַנדזשעלעס		פֿיגעראָאַ-טעאַטער											
ORG-C01903	האַנדלס-שול	school	12	האַנדלס-שול | האַנדלס-שול אין לאָדזש	וואַרשע | ווין | טשערנאָוויץ | לאָדזש | פּעטערבורג		האַנדלסשול | עק דזשייקאַ און וואָלינסקא	עסטרייך | פּוילן										
ORG-C01904	ווינער באַנק	bank	1	ווינער באַנק	ווין		ווינער באַנק											
ORG-C01905	יידישן וואָדעוויל-טעאַטער פֿון סעם אַגער	theatre	1	יידישן וואָדעוויל-טעאַטער פֿון סעם אַגער				אַמעריקע										
ORG-C01906	עסטרייכישע אַרמיי	army	6	עסטרייכישע אַרמיי														
ORG-C01907	יידישן אַרטיסטין פֿאַריין אין פּוילן	union	1	יידישן אַרטיסטין פֿאַריין אין פּוילן				פּוילן										
ORG-C01908	אַרטערסטודיע	school	1	אַרטערסטודיע	ניו יאָרק													
ORG-C01909	אַנסאַמבל	troupe	1	אַנסאַמבל														
ORG-C01910	רוסישער פֿאָלקס-שול	school	8	רוסישע פאָלקס-שול | רוסישער פֿאָלקס-שול	ווילנע		רוסישע פאָלקס-שול											
ORG-C01911	פּאַרטייסאַציאַליסטן-ציוניסטן	union	1	פּאַרטייסאַציאַליסטן-ציוניסטן														
ORG-C01912	פינסקי ליסטאָק	newspaper	1	פינסקי ליסטאָק	פינסק													
ORG-C01913	לערער-סעמינאַר	school	1	לערער-סעמינאַר														
ORG-C01914	לאָקאָל 156	union	1	לאָקאָל 156														
ORG-C01915	פֿאַרשרייט	newspaper	1	פֿאַרשרייט														
ORG-C01916	פרייהייט	newspaper	17	די פֿרייהייט | פרייהייט	ניו יאָרק | ניו-יאָרק | ניויארק		ניו יאָרקער	אַמעריקע | יו-עס-עי										
ORG-C01917	באַגינען	newspaper	1	באַגינען														
ORG-C01918	צוזאַמען	newspaper	2	צוזאַמען	נ. י.													
ORG-C01919	"פ'ג ""צוזאַמען“"	publisher	1	"פ'ג ""צוזאַמען“"	ניו-יאָרק		נ. י.											
ORG-C01920	שטערנס קאָנסערוואַטאָריום	school	1	שטערנס קאָנסערוואַטאָריום	בערלין		שטערנס קאָנסערוואַטאָריום	דייטשלאַנד										
ORG-C01921	זאַנדבערגס גרויסעס טעאַטער	theatre	2	זאַנדבערגס גרויסעס טעאַטער	לאָדזש | לאָדזש		זאַנדבערגס גרויסעס טעאַטער | זאַנדבערגס גרויסעס טעאַטער	פּוילן	455	0.647	ipa_phonetic							
ORG-C01922	יידישן פילהאַרמאָנישן כאָר	choir	1	יידישן פילהאַרמאָנישן כאָר	ניו-יאָרק			אַמעריקע										
ORG-C01923	איקוף-צוזאַמענפֿאָר	union	1	איקוף-צוזאַמענפֿאָר														
ORG-C01924	ניסן בעלזער פֿון ניקאָלאַיעוו	choir	1	ניסן בעלזער פֿון ניקאָלאַיעוו	אָדעס													
ORG-C01925	"טאַבאַק-פֿאָבריק „וויניק"""	factory	1	"טאַבאַק-פֿאָבריק „וויניק"""	לעמבערג		וויניק											
ORG-C01926	קלמן יווועליר	troupe	1	קלמן יווועליר	לעמבערג		"„פאָד סעראָקע"""											
ORG-C01927	"„בראָדערזינגער""-קאָמפּאָניעס"	troupe	1	"„בראָדערזינגער""-קאָמפּאָניעס"	גאַליציע													
ORG-C01928	הורוויץ-הלוי-טרופּע	troupe	1	הורוויץ-הלוי-טרופּע	ווין													
ORG-C01929	דוד עדלהאַפער	theatre	1	דוד עדלהאַפער	ווין		"האָטעל 'אַרקאָ"""											
ORG-C01930	נאַציאָנאָל גאַזעטען	newspaper	1	נאַציאָנאָל גאַזעטען	לאָנדאָן													
ORG-C01931	כאָר פֿון די גאַסטראָלירנדיקע יידישע טרופּעס	troupe	1	כאָר פֿון די גאַסטראָלירנדיקע יידישע טרופּעס	מאַנטשעסטער			ענגלאַנד										
ORG-C01932	די געברידער פֿיינבערג	troupe	1	די געברידער פֿיינבערג	לאָנדאָן			ענגלאַנד										
ORG-C01933	וויינקאָרט קלוב	theatre	1	וויינקאָרט קלוב	לאָנדאָן													
ORG-C01934	סעגאַלעסקאָן	troupe	1	סעגאַלעסקאָן				רומעניע										
ORG-C01935	דאָטשעס טעאַטער	theatre	1	דאָטשעס טעאַטער	קליוולאַנד		דאָטשעס טעאַטער											
ORG-C01936	פּראָפעסיאנעלער טרופּע	troupe	2	פּראָפעסיאנעלער טרופּע | פּראָפעסיאנעלער טרופּע (דיר. — לערמאַן)			אַרגענטינע	אַרגענטינע										
ORG-C01937	טעאַטער נאָווי	theatre	5	טעאַטער נאָווי	אָדעם | אָדעס | וואַרשע	קרולעווסקאַ גאַס	טעאַטער נאָווי | נאָווי | נאָווי טעאַטער | קרולעווסקאַ	פּוילן										
ORG-C01938	רעגירונגס-טעאַטערס	theatre	1	רעגירונגס-טעאַטערס														
ORG-C01939	צוגרייטונגס-שולע	school	1	צוגרייטונגס-שולע														
ORG-C01940	רעגירונגס-שול	school	3	רעגירונגס-שול	אָדעס													
ORG-C01941	"פּויליש טעאַטער ""פּאָפּולאַרני"""	theatre	1	"פּויליש טעאַטער ""פּאָפּולאַרני"""	לאָדזש		"פּויליש טעאַטער ""פּאָפּולאַרני"""											
ORG-C01942	פּוילישע מיניאַטור-טעאַטער	theatre	1	פּוילישע מיניאַטור-טעאַטער	לאָדזש													
ORG-C01943	ריגער מלוכה-טעאַטער	theatre	1	ריגער מלוכה-טעאַטער	ריגע		ריגער מלוכה-טעאַטער	לעטלאַנד	500 | 505	0.720 | 0.600	ipa_phonetic | ipa_phonetic							
ORG-C01944	קאָוונער יידישן טעאַטער	theatre	1	קאָוונער יידישן טעאַטער	קאָוונע		קאָוונער יידישן טעאַטער	ליטע	478 | 505 | 472 | 500 | 502	0.643 | 0.640 | 0.615 | 0.600 | 0.600	ipa_phonetic | ipa_phonetic | ipa_phonetic | ipa_phonetic | ipa_phonetic							
ORG-C01945	ווינער בורג-טעאַטער	theatre	1	ווינער בורג-טעאַטער	ווין		בורג-טעאַטער	עסטרייך	489	0.647	ipa_phonetic							
ORG-C01946	ווינער קייזערלעכן טעאַטער	theatre	1	ווינער קייזערלעכן טעאַטער	ווין		ווינער קייזערלעכן טעאַטער											
ORG-C01947	ווינער אָפּערע	theatre	1	ווינער אָפּערע	ווין		ווינער אָפּערע											
ORG-C01948	דראַמאַטישן קרייז ביי דער יאַסער „קולטור-ליגע“	theatre	1	דראַמאַטישן קרייז ביי דער יאַסער „קולטור-ליגע“	יאַס		יאַסער קולטור-ליגע											
ORG-C01949	בעלצער קולטור-ליגע	cultural_organization	1	בעלצער קולטור-ליגע	בעלץ			רומעניע										
ORG-C01950	בעלצער קהילה	community organization	1	בעלצער קהילה	בעלץ													
ORG-C01951	יאַסער יידישן שפּיטאָל	hospital	1	יאַסער יידישן שפּיטאָל	יאַס		יאַסער יידישן שפּיטאָל		505	0.600	ipa_phonetic							
ORG-C01952	טרופּע פֿון גראָדנער און הורוויטש	troupe	1	טרופּע פֿון גראָדנער און הורוויטש	בוקאַרעשט			רומעניע										
ORG-C01953	פּרינצעס קלוב	theatre	3	פּרינצעס קלוב	לאָנדאָן		פּרינצעס קלוב	ענגלאַנד										
ORG-C01954	מעדיסאָן סטריט-טעאַטער	theatre	4	מעדיסאָן סטריט-טעאַטער	שיקאַגאָ | שיקאַגע | שיקאָגאָ	מעדיסאָן סטריט	מעדיסאָן סטריט-טעאַטער	אַמעריקע	170	0.636	ipa_phonetic							
ORG-C01955	טאָמאַשעווסקיס נעשאַנאַל-טעאַטער	theatre	5	טאָמאַשעווסקי נעשאָנאַל-טעאַטער | טאָמאַשעווסקיס נעשאַנאַל-טעאַטער | טאָמאָשעווסקיס ניישאָנאַל-טעאַטער	ניו יאָרק	האוסטאַן סטריט און סעקאַנד עוועניו	נעשאַנאַל-טעאַטער	אַמעריקע										
ORG-C01956	געבילס פּאָבליק-טעאַטער	theatre	7	געבילס פּאָבליק-טעאַטער	ניו יאָרק | ניויאָרק		געבילס פּאָבליק-טעאַטער | פּאָבליק-טעאַטער	אַמעריקע										
ORG-C01957	"אַקטיאָרן יוניאָן „לאָקאַל צוויי"""	union	1	"אַקטיאָרן יוניאָן „לאָקאַל צוויי"""														
ORG-C01958	ניואַנסן	newspaper	1	ניואַנסן														
ORG-C01959	רויערד	newspaper	1	רויערד	מאָנטרעאָל													
ORG-C01960	פֿאָלקסביבליאָטעק	library	1	פֿאָלקסביבליאָטעק	מאַנטרעאָל													
ORG-C01961	פּאַסיפיק	newspaper	1	פּאַסיפיק	לאָס אַנדזשעלעס													
ORG-C01962	מתנות	publisher	4	מתנות	ניו יאָרק | ניו-יאָרק			אַמעריקע										
ORG-C01963	נייע יידישע פֿאָלקס שול	publisher	2	נייע יידישע פֿאָלקס שול	ווילנע													
ORG-C01964	טרופּע אונטער דער דירעקציע פֿון טרייטלער און ראָזענבלום	troupe	1	טרופּע אונטער דער דירעקציע פֿון טרייטלער און ראָזענבלום	בערלאָד			רומעניע										
ORG-C01965	עליזעום-באַגאַטעלאַ	theatre	1	עליזעום-באַגאַטעלאַ	וואַרשע		עליזעום-באַגאַטעלאַ	פּוילן										
ORG-C01966	ערמיטאַזש	theatre	2	ערמיטאַזש	וואַרשע		ערמיטאַזש	פּוילן										
ORG-C01967	אַדלערס „טאָליאַ“-טעאַטער	theatre	1	אַדלערס „טאָליאַ“-טעאַטער	ניו יאָרק		טאָליאַ-טעאַטער	אַמעריקע										
ORG-C01968	וואַרשעווער קונסט-שול	school	1	וואַרשעווער קונסט-שול	וואַרשע		וואַרשעווער קונסט-שול											
ORG-C01969	קונסט-אָקאָדעמיע	school	7	קונסט-אַקאַדעמיעס | קונסט-אָקאַדעמיע אין פּעטערבורג | קונסט-אָקאָדעמיע	אַנטווערפן | מינכען | פּאַריז | פּעטערבורג | פאַריז		אייראָפּע | קונסט-אַקאַדעמיע	פראַנקרייך										
ORG-C01970	'עקאָל דע ב'יז אָרט'	school	1	'עקאָל דע ב'יז אָרט'	פאַריז		'עקאָל דע ב'יז אָרט'											
ORG-C01971	נאַציאָנאַלן פּוילישן מוזעום 'זאַכענטאַ'	museum	1	נאַציאָנאַלן פּוילישן מוזעום 'זאַכענטאַ'	וואַרשע		נאַציאָנאַלן פּוילישן מוזעום 'זאַכענטאַ'	פּוילן										
ORG-C01972	'נאָוועמבער-גרופּע'	troupe	1	'נאָוועמבער-גרופּע'	בערלין		'נאָוועמבער-גרופּע'											
ORG-C01973	'שטורעם-גרופּע'	troupe	1	'שטורעם-גרופּע'	בערלין		'שטורעם-גרופּע'											
ORG-C01974	געזעלשאַפֿט פֿאַר דער פֿאַרשפּרייטונג פֿון יידישער קונסט	organization	1	געזעלשאַפֿט פֿאַר דער פֿאַרשפּרייטונג פֿון יידישער קונסט	וואַרשע		געזעלשאַפֿט פֿאַר דער פֿאַרשפּרייטונג פֿון יידישער קונסט											
ORG-C01975	"גאַלעריי ""קרעס"""	gallery	1	"גאַלעריי ""קרעס"""	פאַריז		"גאַלעריי ""קרעס"""											
ORG-C01976	"„פּאַלעי דע לאַ דעקואַווערט"""	museum	1	"„פּאַלעי דע לאַ דעקואַווערט"""	פּאַריז		"„פּאַלעי דע לאַ דעקואַווערט"""											
ORG-C01977	מוזעום פֿאַר מאָדערנע קונסט	museum	2	מוזעום פֿאַר מאָדערנע קונסט	מעקסיקע סיטי | ניו יאָרק		מוזעום פֿאַר מאָדערנער קונסט	אַמעריקע | מעקסיקע										
ORG-C01978	דאָס לעבען	newspaper	3	דאָס לעבען	פּעטערבורג			רוסלאַנד										
ORG-C01979	דער שטראַהל	newspaper	2	דער שטראַהל	וואַרשע			פּוילן										
ORG-C01980	השלוח	newspaper	1	השלוח														
ORG-C01981	בינשטאַק	publisher	1	בינשטאַק	אָדעס			רוסלאַנד										
ORG-C01982	גוט מאָרגען	newspaper	2	גוט מאָרגען	אָדעס			רוסלאַנד										
ORG-C01983	שלום-עליכם	newspaper	1	שלום-עליכם	אָדעס			רוסלאַנד										
ORG-C01984	קלעצקינס פֿאַרלאַג	publisher	1	קלעצקינס פֿאַרלאַג	ווילנע													
ORG-C01985	בלימעלאָך	publisher	2	בלימעלאָך	אָדעס			רוסלאַנד										
ORG-C01986	הוצאת יורשי המחבר	publisher	1	הוצאת יורשי המחבר	בערלין			דייטשלאַנד										
ORG-C01987	אָדעסער פֿאָלקסבלאט	newspaper	1	אָדעסער פֿאָלקסבלאט	אָדעס			רוסלאַנד										
ORG-C01988	"""שייפערס אַרפעום""-טעאַטער"	theatre	1	"""שייפערס אַרפעום""-טעאַטער"	באַלטימאָר		"""שייפערס אַרפעום""-טעאַטער"											
ORG-C01989	"לאָדזש 510 פֿון די ""נייטס אָוו פּיטהיאָס"""	union	1	"לאָדזש 510 פֿון די ""נייטס אָוו פּיטהיאָס"""														
ORG-C01990	אונדער צייט	newspaper	3	אונדער צייט	קאָוונע | ריגע													
ORG-C01991	נייס	newspaper	2	נייס	קאָוונע			ליטע										
ORG-C01992	"פֿאַרלאַג „ליכט"""	publisher	1	"פֿאַרלאַג „ליכט"""	קאָוונע													
ORG-C01993	יידישן נאַציאָנאָל-ראָט	organization	1	יידישן נאַציאָנאָל-ראָט	קאָוונע													
ORG-C01994	קאָוונער יידישער דראָמאַטישער געזעלשאַפֿט	theatre	1	קאָוונער יידישער דראָמאַטישער געזעלשאַפֿט	קאָוונע				44 | 446	0.686 | 0.629	ipa_phonetic | ipa_phonetic							
ORG-C01995	אַלגעמיינע בילדונגס-קורסן	school	1	אַלגעמיינע בילדונגס-קורסן	ווילנע													
ORG-C01996	רעפּערטואָר	publisher	1	רעפּערטואָר														
ORG-C01997	אָדעסער רעגירונגס מוזיק-שול	school	1	אָדעסער רעגירונגס מוזיק-שול	אָדעס		אָדעסער רעגירונגס מוזיק-שול											
ORG-C01998	געזעלשאַפט פאַר יידישע פאָלקס-מוזיק	society	1	געזעלשאַפט פאַר יידישע פאָלקס-מוזיק	פּעטערבורג		געזעלשאַפט פאַר יידישע פאָלקס-מוזיק											
ORG-C01999	יעקאַטערינאָסלאַווער מוזיק-שול	school	1	יעקאַטערינאָסלאַווער מוזיק-שול	יעקאַטערינאָסלאַוו		יעקאַטערינאָסלאַווער מוזיק-שול											
ORG-C02000	סימפאָנישער אָרקעסטער און אָפּערע	troupe	1	סימפאָנישער אָרקעסטער און אָפּערע	יעקאַטערינאָסלאָוו		סימפאָנישער אָרקעסטער און אָפּערע											
