city	kind	id	org_type	incorrectly classified as theatre or theatre in German-speaking countries	duplicate	name_latin	QID	historic address	current address	comments	name_yiddish_with_translit	name_variants_with_translit	confirmed_settlement	confirmed_address	confirmed_address_romanized	extracted_addresses_with_translit	extracted_venues_with_translit	extracted_countries	cluster_size	decision	aligned_db_id	linked_cluster_ids	linked_db_id	parent_db_id	reviewer_notes	lat	lon
Vienna	cluster	ORG-C01088_Q01	Journals/ Newspapers								נייע צייט [neye tseyt]	די נייע צייט [di neye tseyt] | נייע צייט [neye tseyt]							4								
Vienna	cluster	ORG-C01401	Journals/ Newspapers								דער קוואַל [der kval]	דער קוואַל [der kval]							2								
Vienna	cluster	ORG-C01888	Journals/ Newspapers								השחר [hshkhr]	השחר [hshkhr]						עסטרייך	5								
Vienna	cluster	ORG-C03449	Journals/ Newspapers								קריטיק [kritik]	קריטיק [kritik]							1								
Vienna	cluster	ORG-C04452	Journals/ Newspapers								Freie Tribune	Freie Tribune							1								
Vienna	cluster	ORG-C04453	Journals/ Newspapers								Judisches Theater	Judisches Theater							1	ALIGN	464		464				
Vienna	cluster	ORG-C04532	Journals/ Newspapers								עמק שושנים [emk shushnim]	עמק שושנים [emk shushnim]							1								
Vienna	cluster	ORG-C06344	Journals/ Newspapers								די יודישע מאָרגענפּאָסט [di yudishe morgenpost]	די יודישע מאָרגענפּאָסט [di yudishe morgenpost]							1								
Vienna	cluster	ORG-C04938	Musical organization								טעמפּל א'ל [templ al]	טעמפּל א'ל [templ al]					טעמפּל א'ל [templ al]	עסטרייך	1								
Vienna	cluster	ORG-C01082	OTHER - elaborate!								ציב [tsib]	ציב [tsib]						עסטרייך	1								
Vienna	cluster	ORG-C01403_Q02	Publisher								יידיש [eydish]	יידיש [eydish]							1								
Vienna	cluster	ORG-C02246	Publisher								דרוק פ. בענדינער [druk f bendiner]	דרוק פ. בענדינער [druk f bendiner]							1								
Vienna	cluster	ORG-C00186	Theatre			Jiddischer dramatischer Kreis Ferdinand Lassalle	Q75784				יידישן דראַמאַטישן קריין א'נ „פֿערדינאַנד לאַסאַל“ [eydishn dramatishn kreyn an ferdinand lasal]	יידישן דראַמאַטישן קריין א'נ „פֿערדינאַנד לאַסאַל“ [eydishn dramatishn kreyn an ferdinand lasal]						עסטרייך	1								
Vienna	cluster	ORG-C00190_Q03	Theatre		yes	Volkstheater Wien	Q688555		Neustiftgasse 1, 1070 Wien		פֿאָלקסבינע (ווין) [folksbine vin]	פֿאָלקסבינע [folksbine]						עסטרייך	1						[finalize_qid parenthetical] renamed from 'פֿאָלקסבינע' for settlement 'ווין'. Prior notes: Cluster contains multiple distinct Folksbiene entities across Berlin, Vienna, and New York; no single DB candidate exists.		
Vienna	cluster	ORG-C00243	Theatre			Probably Orfeum-Theater/ Budapester Orpheum(-sgesellschaft)	Q1000661	different addresses from 1891-1939			אָרקאָדיאָ-טעאַטער [orkodioteater]	אָרקאָדיאָ-טעאַטער [orkodioteater]							2								
Vienna	cluster	ORG-C00555	Theatre		yes	Wiener Freie Jiddische Volksbühne	Q125212717	different addresses from 1919-1930			ווינער 'פרייע יידישע פֿאָלקסבינע' [viner freye eydishe folksbine]	ווינער 'פרייע יידישע פֿאָלקסבינע' [viner freye eydishe folksbine]					ווינער [viner]	עסטרייך	4								
Vienna	cluster	ORG-C00596_Q02	Theatre							Jiddisches Dramatisches Theater in Wien/ Yiddish Drama Theatre in Vienna	יידיש דראַמאַטיש טעאַטער אין ווין [eydish dramatish teater in vin]	יידיש דראַמאַטיש טעאַטער אין ווין [eydish dramatish teater in vin]							1								
Vienna	cluster	ORG-C00616	Theatre		yes	Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien		סטעפאני [stefani]	סטעפאני [stefani]					סטעפאני [stefani]		1								
Vienna	cluster	ORG-C00745	Theatre			Rolandbühne	Q22667147		Praterstraße 25, 1020 Wien		ראָלאַנד-בינע [rolandbine]	ראָלאַנד-בינע [rolandbine]				פּראָטער שטראסע [proter shtrase]	„ראָלאַנד בינע" [roland bine]	עסטרייך	3								
Vienna	cluster	ORG-C00747	Theatre		yes	Bürgertheater	Q1713589		Vordere Zollamtsstraße 13, 1030 Wien		"בירגער טעאַטער“ [birger teater]	"בירגער טעאַטער“ [birger teater]					"בירגער טעאַטער“ [birger teater]	עסטרייך	1								
Vienna	cluster	ORG-C00806	Theatre		yes	Teater Reklam					טעאַטער רעקלאַם [teater reklam]	טעאַטער רעקלאַם [teater reklam]						עסטרייך	3								
Vienna	cluster	ORG-C00871	Theatre							ein jiddisches Theater/ a Yiddish theatre	אַ יידיש טעאַטער [a eydish teater]	אַ יידיש טעאַטער [a eydish teater]					בעמישן האָף [bemishn hof]	עסטרייך	1								
Vienna	cluster	ORG-C00873_Q02	Theatre			Miniatur-Theater					מיניאַטור-טעאַטער [miniaturteater]	מיניאַטור-טעאַטער [miniaturteater]							1								
Vienna	cluster	ORG-C00894	Theatre		yes	Teater Reklam					טעאַטער "רעקלאַמע" [teater reklame]	טעאַטער "רעקלאַמע" [teater reklame]							2								
Vienna	cluster	ORG-C00896	Theatre		yes	Carltheater	Q877699		Praterstraße 31, 1020 Wien		קאַרל טעאַטער [karl teater]	קאַרל טעאַטער [karl teater]					קאַרל טעאַטער | קאַרל-טעאַטער [karl teater karlteater]		3	NEW	688		688				
Vienna	cluster	ORG-C00899	Theatre							Jiddische Künstler-Spielen/ Yiddish Artists' Plays	יידישע קינסטלער שפּילן [eydishe kinstler shpiln]	יידישע קינסטלער שפּילן [eydishe kinstler shpiln]							1								
Vienna	cluster	ORG-C01001	Theatre							Der goldene Pfau (poem by Moyshe-Leyb Halpern??)	די גאָלדענע פּאַווע [di goldene pave]	גאָלדענע פּאַווע [goldene pave] | די גאָלדענע פּאַווע [di goldene pave]					קליינקונסט-טעאַטער [kleynkunstteater]	דייטשלאַנד	4	ALIGN	261		261				
Vienna	cluster	ORG-C01224_Q01	Theatre			Jüdische Bühne um Schulim Podzamcze			quite long Hotel Stefanie (Taborstraße 12, 1020 Wien)		פּאָדזאַמטשע [podzamtche]	פּאָדזאַמטשע [podzamtche]					פּאָדזאַמטשע | פּאָדזשאַמטשע [podzamtche podzhamtche]		8								
Vienna	cluster	ORG-C01256	Theatre		yes	Ringtheater	Q441937		Schottenring 7, 1010 Wien		רינג-טעאַטער [ringteater]	רינג-טעאַטער [ringteater]					רינג טעאַטער | רינג-טעאַטער [ring teater ringteater]		3	ALIGN	124		124				
Vienna	cluster	ORG-C01279	Theatre		yes	Teater Reklam					ווינער "רעקלאַם"-טעאַטער [viner reklamteater]	ווינער "רעקלאַם"-טעאַטער [viner reklamteater]					רעקלאַם-טעאַטער [reklamteater]		1								
Vienna	cluster	ORG-C01360	Theatre							Jiddische Künstler-Spielen/ Yiddish Artists' Plays	די יודישע קינסטלער שפּילע [di yudishe kinstler shpile]	די יודישע קינסטלער שפּילע [di yudishe kinstler shpile]				פּראַטערשטראַסע [pratershtrase]	פּראַטערשטראַסע [pratershtrase]		1								
Vienna	cluster	ORG-C01387_Q05	Theatre							Yiddish Theatre	יידישן טעאַטער [eydishn teater]	יידישן טעאַטער [eydishn teater] | יידישן טעאַטער אין ווין [eydishn teater in vin]					יידישן טעאַטער [eydishn teater]	עסטרייך	7								
Vienna	cluster	ORG-C01573	Theatre							Maybe Godl Kurazh (actor)???	טעאַטער „קוראַזש“ [teater kurazh]	טעאַטער „קוראַזש“ [teater kurazh]					טעאַטער „קוראַזש“ [teater kurazh]		1								
Vienna	cluster	ORG-C01929	Theatre			Probaly Moritz Edelhofer (director)??/ Edelhofers Volksorpheum/ Leopoldstädter Orpheum			Rotensterngasse 7a, 1020 Wien		דוד עדלהאַפער [dud edlhafer]	דוד עדלהאַפער [dud edlhafer]					האָטעל 'אַרקאָ" [hotel arko]		1								
Vienna	cluster	ORG-C01946	Theatre			Wiener Kaiserliche Theater/ Burgtheater	Q109377820		Universitätsring 2, 1010 Wien		ווינער קייזערלעכן טעאַטער [viner keyzerlekhn teater]	ווינער קייזערלעכן טעאַטער [viner keyzerlekhn teater]					ווינער קייזערלעכן טעאַטער [viner keyzerlekhn teater]		1								
Vienna	cluster	ORG-C01947	Theatre			Wiener Staatsoper	Q209937		Opernring 2, 1010 Wien		ווינער אָפּערע [viner opere]	ווינער אָפּערע [viner opere]					ווינער אָפּערע [viner opere]		1								
Vienna	cluster	ORG-C02629	Theatre							Jiddische/ Jüdische Bühne Wien // Yiddish/ Jewish Stage Vienna	יידישער בינע אין ווין [eydisher bine in vin]	יידישער בינע אין ווין [eydisher bine in vin]					יידישער בינע אין ווין [eydisher bine in vin]	עסטרייך	1								
Vienna	cluster	ORG-C02630	Theatre							Deutsche Theater/ German theatres (probably the big “Assimilation stages”)	דייטשע טעאַטערס [deytche teaters]	דייטשע טעאַטערס [deytche teaters]					דייטשע טעאַטערס [deytche teaters]	עסטרייך	1								
Vienna	cluster	ORG-C02692	Theatre							Wiener Jiddische Bühne/ Vienna Yiddish Theatre	ווינער יידישער בינע [viner eydisher bine]	ווינער יידישער בינע [viner eydisher bine]							2								
Vienna	cluster	ORG-C02779	Theatre		yes	Teater Reklam					ווינער יידישן טעאַטער רעקלאַם [viner eydishn teater reklam]	ווינער יידישן טעאַטער רעקלאַם [viner eydishn teater reklam]					ווינער יידישן טעאַטער רעקלאָם [viner eydishn teater reklom]		2								
Vienna	cluster	ORG-C03006	Theatre		yes	Wiener Freie Jiddische Volksbühne	Q125212717	different addresses from 1919-1930			„פֿרייע יידישע פֿאָלקסבינע" [freye eydishe folksbine]	„פֿרייע יידישע פֿאָלקסבינע" [freye eydishe folksbine]					„פֿרייע יידישע פֿאָלקסבינע" [freye eydishe folksbine]	עסטרייך	1								
Vienna	cluster	ORG-C03058	Theatre		yes	Teater Reklam					רעקלאַם [reklam]	רעקלאַם [reklam]					רעקלאַם [reklam]		1								
Vienna	cluster	ORG-C03060_Q01	Theatre			Astor-Theater Wien			probably Praterstraße 60, 1020 Wien		אַסטאָר'-טעאַטער (ווין) [astorteater vin]	אַסטאָר'-טעאַטער [astorteater]					אַסטאָר'-טעאַטער [astorteater]		1						[finalize_qid parenthetical] renamed from 'אַסטאָר'-טעאַטער' for settlement 'ווין'. Prior notes: Cluster contains distinct Astor Theatres in Vienna and New York; no direct match in DB.		
Vienna	cluster	ORG-C03103	Theatre							Jiddisches Künstlerkabarett/ Yiddish artists' cabaret	יודיש קינצלער קאַבאַרעט [yudish kintsler kabaret]	יודיש קינצלער קאַבאַרעט [yudish kintsler kabaret]				פּראַטער שטר. 60 [prater shtr]	יודיש קינצלער קאָבאַרעט [yudish kintsler kobaret]		2								
Vienna	cluster	ORG-C03719	Theatre		yes	Probably Wiener Bürgertheater	Q1713589		Vordere Zollamtsstraße 13, 1030 Wien		אָפּערעטן-טעאַטער [operetnteater]	אָפּערעטן-טעאַטער [operetnteater]					אָפּערעטן-טעאַטער [operetnteater]	עסטרייך	2								
Vienna	cluster	ORG-C03999	Theatre		yes	Carltheater	Q877699		Praterstraße 31, 1020 Wien		דייטשן קאַרל-טעאַטער [deytchn karlteater]	דייטשן קאַרל-טעאַטער [deytchn karlteater]					קאַרל-טעאַטער [karlteater]		1								
Vienna	cluster	ORG-C04060	Theatre		yes	Wiener Freie Jiddische Volksbühne	Q125212717	different addresses from 1919-1930			„די פרייע יידישע פֿאָלקס-בינע" א"ל פֿון ברעכער און דייטש [di freye eydishe folksbine al fun brekher un deytch]	„די פרייע יידישע פֿאָלקס-בינע" א"ל פֿון ברעכער און דייטש [di freye eydishe folksbine al fun brekher un deytch]							1								
Vienna	cluster	ORG-C04301	Theatre		yes	Zum goldenen Widder		Taborstraße 36, 1020 Wien			ביים גאָלדענעם ווידער [beym goldenem vider]	ביים גאָלדענעם ווידער [beym goldenem vider]					גאַרטן [gartn]		1								
Vienna	cluster	ORG-C04830	Theatre		yes	Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien		טעאַטער „סטעפאַניע" [teater stefanie]	טעאַטער „סטעפאַניע" [teater stefanie]							1								
Vienna	cluster	ORG-C04850	Theatre		yes	Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien		ווינער יידישן סטעפאַניי-טעאַטער [viner eydishn stefaneyteater]	ווינער יידישן סטעפאַניי-טעאַטער [viner eydishn stefaneyteater]						עסטרייך	1								
Vienna	cluster	ORG-C04853	Theatre			Kammerspiele	Rotenturmstraße 20, 1010 Wien		Rotenturmstraße 20, 1010 Wien		קאָמערשפּילע [komershpile]	קאָמערשפּילע [komershpile]							1								
Vienna	cluster	ORG-C05107	Theatre			Verein Zion				Zion Association	פֿאַראיין „ציון“ [fareyn tsiun]	פֿאַראיין „ציון“ [fareyn tsiun]						עסטרייך	1								
Vienna	cluster	ORG-C05204	Theatre			Bayrische Hof			Taborstraße 39, 1020 Wien		בייערישן הויף [beyerishn hoyf]	בייערישן הויף [beyerishn hoyf]					בייערישן הויף [beyerishn hoyf]		1								
Vienna	cluster	ORG-C05218	Theatre		yes	Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien		סטעפאַני-טעאַטער [stefaniteater]	סטעפאַני-טעאַטער [stefaniteater] | סטעפאַניאַ-טעאַטער [stefaniateater]					סטעפאַניע-טעאַטער [stefanieteater]		2								
Vienna	cluster	ORG-C05581	Theatre							Wiener Jiddische Bühne/ Vienna Yiddish Theatre	ווינער "יידישע בינע" [viner eydishe bine]	ווינער "יידישע בינע" [viner eydishe bine]					יידישע בינע [eydishe bine]		1								
Vienna	cluster	ORG-C05636	Theatre		yes	Wiener Freie Jiddische Volksbühne	Q125212717	different addresses from 1919-1930			פֿריוער יידישער פֿאָלקס-בינע [friuer eydisher folksbine]	פֿריוער יידישער פֿאָלקס-בינע [friuer eydisher folksbine]							1								
Vienna	cluster	ORG-C05773	Theatre		yes	Carltheater	Q877699		Praterstraße 31, 1020 Wien		ווינער קאַרלטעאַטער [viner karlteater]	ווינער קאַרלטעאַטער [viner karlteater]					ווינער קאַרלטעאַטער | ווינער קאָרל-טעאַטער [viner karlteater viner korlteater]		2								
Vienna	cluster	ORG-C05905	Theatre							Deutsche Café-Concerts/ Singspielhallen// German café-concerts / music halls	דייטשע קאָפע-שאָנטאָנען [deytche kofeshontonen]	דייטשע קאָפע-שאָנטאָנען [deytche kofeshontonen]					קאָפע-שאָנטאָנען [kofeshontonen]		1								
Vienna	cluster	ORG-C05963	Theatre							Jiddisches Kunsttheater auf Deutsch/ Yiddish Art Theatre in German	יידיש קונסט-טעאַטער אויף דייטש [eydish kunstteater oyf deytch]	יידיש קונסט-טעאַטער אויף דייטש [eydish kunstteater oyf deytch]							1								
Vienna	cluster	ORG-C05964	Theatre							Jahr nach der Bühne/ year after leaving the stage ???	יאָרנאָבינעם [yornobinem]	יאָרנאָבינעם [yornobinem]							1								
Vienna	cluster	ORG-C06109	Theatre		yes	Wiener Freie Jiddische Volksbühne	Q125212717	different addresses from 1919-1930			ווינער „פרייער פֿאָלקסבינע“ [viner freyer folksbine]	ווינער „פרייער פֿאָלקסבינע“ [viner freyer folksbine]					ווינער „פרייער פֿאָלקסבינע“ [viner freyer folksbine]		1								
Vienna	cluster	ORG-C06365	Theatre							Der goldene Pfau (poem by Moyshe-Leyb Halpern??)	גילדענע פּאָווע [gildene pove]	גילדענע פּאָווע [gildene pove]							1	ALIGN	261		261				
Vienna	cluster	ORG-C06368	Theatre							Erstes jiddisches festes literarisches Theater/ The first established Yiddish literary theatre	ערשטע יידישע סטאָבילע ליטעראָרישע טעאַטער [ershte eydishe stobile literorishe teater]	ערשטע יידישע סטאָבילע ליטעראָרישע טעאַטער [ershte eydishe stobile literorishe teater]							1								
Vienna	cluster	ORG-C06390	Theatre		yes	Zum goldenen Widder		Taborstraße 36, 1020 Wien			ביום גאָלדענען ווידער [bium goldenen vider]	ביום גאָלדענען ווידער [bium goldenen vider]					ביום גאָלדענען ווידער [bium goldenen vider]		1								
Vienna	cluster	ORG-C06397	Theatre		yes	Jiddisches Theater auf der Taborstraße 12/ Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien		יידישן טעאַטער אויף טאָבאָר שטר. 12 [eydishn teater oyf tobor shtr]	יידישן טעאַטער אויף טאָבאָר שטר. 12 [eydishn teater oyf tobor shtr]				טאָבאָר שטר. 12 [tobor shtr]	יידישן טעאַטער [eydishn teater]		1								
Vienna	cluster	ORG-C06400	Theatre		yes	Teater Reklam					יידישן טעאַטער רעקלאָם [eydishn teater reklom]	יידישן טעאַטער רעקלאָם [eydishn teater reklom]					יידישן טעאַטער רעקלאָם [eydishn teater reklom]		1								
Vienna	cluster	ORG-C06424	Theatre							Bühne/ stage	הבמה [hbmh]	הבמה [hbmh]							1								
Vienna	cluster	ORG-C06606	Theatre		yes	Ringtheater	Q441937		Schottenring 7, 1010 Wien		דייטשן רינג-טעאָטער [deytchn ringteoter]	דייטשן רינג-טעאָטער [deytchn ringteoter]					רינג-טעאָטער [ringteoter]		1								
Vienna	cluster	ORG-C06662	Theatre							Jiddisches Künstlerkabarett/ Yiddish artists' cabaret	יידישן קינסטלער קאַבאַרעט [eydishn kinstler kabaret]	יידישן קינסטלער קאַבאַרעט [eydishn kinstler kabaret]				פּראַטער שטראַסע 60 [prater shtrase]	קאַבאַרעט [kabaret]		2								
Vienna	cluster	ORG-C06667	Theatre		yes	Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien		סטעפאָניאַ [stefonia]	סטעפאָניאַ [stefonia]							1								
Vienna	cluster	ORG-C07283	Theatre							Professionelles jiddisches literarisches Theater/ Professional Yiddish literary theatre	פּראָפעסיאנעלע יידישע ליטעראַרישע טעאַטער [profesianele eydishe literarishe teater]	פּראָפעסיאנעלע יידישע ליטעראַרישע טעאַטער [profesianele eydishe literarishe teater]					פּראָפעסיאנעלע יידישע ליטעראַרישע טעאַטער [profesianele eydishe literarishe teater]	עסטרייך	1								
Vienna	db	124	Theatre		yes	Ringtheater	Q441937		Schottenring 7, 1010 Wien		רינג-טעאַטער [ringteater]		Vienna		Schottenring 7, Vienna	Schottenring 7, Vienna										48.215124	16.364208
Vienna	db	321	Theatre			Lit. Dram. Gesellschaft				?????			Vienna		Leopoldstadt, Vienna, Austria											48.200638	16.426895
Vienna	db	494	Theatre		yes	Volkstheater Wien	Q688555		Neustiftgasse 1, 1070 Wien		ווינער דייטשן פאָלקס-טעאַטער [viner deytchn folksteater]		Vienna		Neustiftgasse 1, Vienna							ORG-C00053				48.205366	16.356933
Vienna	db	526	Theatre							can't identify any theatre from the relevant period/ the present-day Odeon Theatre at Taborstraße 10 was not founded until the end of the 20th century	אָדאָן-טעאַטער [odonteater]		Vienna		Taborstraße 10, Vienna							ORG-C01411				48.21422	16.380167
Vienna	cluster	ORG-C00448_Q04	Theatre-related Society/ Union								יידישער אַרטיסטן-פאַריין אין ווין [eydisher artistnfareyn in vin]	יידישער אַרטיסטן-פאַריין אין ווין [eydisher artistnfareyn in vin]						עסטרייך	1								
Vienna	cluster	ORG-C00776_Q01	Theatre-related Society/ Union								יידישן אַקטיאָרן-פאַראיין אין ווין [eydishn aktiornfareyn in vin]	יידישן אַקטיאָרן-פאַראיין אין ווין [eydishn aktiornfareyn in vin] | יידישן אָקטיאָרן-פֿאַריין אין ווין [eydishn oktiornfareyn in vin]						עסטרייך	3								
Vienna	cluster	ORG-C04388	Theatre-related Society/ Union								ווינער יידישן אָרטיסט-פאַראיין [viner eydishn ortistfareyn]	ווינער יידישן אָרטיסט-פאַראיין [viner eydishn ortistfareyn]							1								
Vienna	cluster	ORG-C04728	Theatre-related Society/ Union								פֿאַראיין "שלום עליכם" [fareyn shlum elikhm]	פֿאַראיין "שלום עליכם" [fareyn shlum elikhm]					לאַגער וויזעלבורג [lager vizelburg]	עסטרייך	1								
Vienna	db	688	theatre		yes	Carltheater	Q877699		Praterstraße 31, 1020 Wien		קאַרל טעאַטער [karl teater]		Vienna		Praterstrasse 31, 1020 Vienna							ORG-C00896			Zylbercweig lexicon: Carltheater, Vienna. Address Praterstrasse 31, Leopoldstadt (2nd district). Added Settlement + Address (card had no confirmed location). Historic Vienna theatre in the Jewish Leopoldstadt district; venue for Yiddish guest performances.		
