mention_id	surname	host_person_id	mention_name	decision_kind	resolved_hub_id	resolved_heading	resolver_verdict	resolver_method	agrees_with_resolver	chips	reviewer	reviewed_at	notes
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-044	טאמאשעווסקי	P-2-facs_85_tr_1744131380	טאָמאַשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1921|family-cluster|career-overlap	Ruthie	2026-07-09T11:48:38Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-045	טאמאשעווסקי	P-2-facs_87_tr_1744131446	טאָמאַשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T11:48:38Z	
M-volume_2IIIorg-NOXID-טאָמאשעווסקי-000	טאמאשעווסקי	P-2-facs_88_tr_1744131405	טאָמאשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T11:48:38Z	
M-Volume_3IIIorg-NOXID-טאָמאַשעווסקי-003	טאמאשעווסקי	P-3-facs_129_tr_1754820306	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T11:48:38Z	
M-Volume_3IIIorg-NOXID-טאָמאַשעווסקי-004	טאמאשעווסקי	P-3-facs_272_tr_1755674155	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1910|family-cluster|career-overlap	Ruthie	2026-07-09T11:48:38Z	
M-Volume_3IIIorg-NOXID-טאָמאַשעווסקי-002	טאמאשעווסקי	P-3-facs_30_tr_1752652991	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T11:48:38Z	
M-Volume_3IIIorg-NOXID-טאָמאַשעווסקי-005	טאמאשעווסקי	P-3-facs_315_tr_1756044900	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T11:48:38Z	
M-Volume_3IIIorg-NOXID-טאָמאַשעווסקי-006	טאמאשעווסקי	P-3-facs_316_tr_1756045027	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster|within-entry|co-mention	Ruthie	2026-07-09T11:48:38Z	
M-Volume_3IIIorg-NOXID-טאָמאַשעווסקי-007	טאמאשעווסקי	P-3-facs_415_tr_1755856164	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1932|family-cluster|career-overlap	Ruthie	2026-07-09T11:48:38Z	
M-Volume_4IIIorg-NOXID-טאָמאַשעווסקי-035	טאמאשעווסקי	P-4-facs_274_tr_1754998431	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster|career-overlap	Ruthie	2026-07-09T11:48:38Z	
M-Volume_4IIIorg-NOXID-טאָמאַשעווסקי-036	טאמאשעווסקי	P-4-facs_276_tr_1754998432	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster|career-overlap	Ruthie	2026-07-09T11:48:38Z	
M-Volume_4IIIorg-NOXID-טאָמאַשעווסקי-033	טאמאשעווסקי	P-4-facs_55_tr_1753681940	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster|career-overlap	Ruthie	2026-07-09T11:48:38Z	
