rid,label_yi,label_en,qid,lat,lon,occurrences,fields
R592,ראַדאָשקאָוויטש,,,,,1,place
R593,ראַטנפאַרבאַנד,,,,,1,countries
R594,ראַטנפֿאַרבאַנד,,,,,1,countries
R595,ראָד. גוב.,,,,,1,province
R596,ראָדאָמער גוב.,,,,,1,province
R597,ראָוונע לוצק-קאָוול,,,,,1,settlements
R598,ראָוונער געגנט,,,,,1,province
R599,ראָטשילד שפּיטאָל,,,,,1,place
R600,ראָר. גוב.,,,,,1,province
R601,ראדאָמער גוב.,,,,,1,province
R602,ראוד איילאַנד,,,,,1,province
R603,רוטיניאַ,,,,,1,place
R604,רומבולער וועלדל,,,,,1,place
R605,רומבילער וואַלד,,,,,1,place
R606,רומעיע,,,,,1,country
R607,רוסיש-ליטע,,,,,1,province
R608,רוסישליטע,,,,,1,province
R609,רוסלאַנד אָדער רומעניע,,,,,1,place
R610,רושלאַנד,,,,,1,countries
R611,ריאָ דע זשענייראָ,,,,,1,settlements
R612,ריאָ-דע-זשענייראָ,,,,,1,settlements
R613,"ריטשמאַנד, סטעטען איילאַנד",,,,,1,settlements
R614,ריכבאַך,,,,,1,settlements
R615,רעזשיצער קרייז,,,,,1,province
R616,רעשע,,,,,1,settlements
R617,שאַוולער קרייז,,,,,1,province
R618,שאָרלאַטענבורג,,,,,1,settlements
R619,שעדל. גוב.,,,,,1,province
R620,שעדלעצער קרייז,,,,,1,province
R621,שעמבערג-דאַוטמערגען,,,,,1,place
R622,תל-ביב,,,,,1,place
R623,תפיסה,,,,,1,place
R624,אַמעריקאַ,,,,,1,countries
R625,פֿאַר ראַקאָוועי,,,,,1,settlements
R626,פֿאָבאָלאָוו,,,,,1,place
R627,פֿאָדאָלער גוב.,,,,,1,province
R628,פֿאָל ריווער,,,,,1,settlements
R629,פֿאָרזען,,,,,1,place
R630,פֿאָרשטאָט פֿון קאָוונע,,,,,1,province
R631,פֿהילאָדעלפהיאַ,,,,,1,settlements
R632,פֿילאַדעלפיע ניו-יאָרק,,,,,1,settlements
R633,פֿילאַָעלפֿיער,,,,,1,settlements
R634,פֿילאָדעליע,,,,,1,settlements
R635,פֿילאָרעלפיע,,,,,1,settlements
